onset	duration	Event Type
0.0166	6.0069	Picture
13.4329	0	Nothing
13.4329	0	Pulse
15.7129	0	Pulse
18.0008	0	Pulse
20.2807	0	Pulse
22.4422	8.0092	Picture
22.5527	0	Pulse
24.8326	0	Pulse
27.1126	0	Pulse
29.4005	0	Pulse
31.6724	0	Pulse
33.9524	0	Pulse
36.2323	0	Pulse
37.4594	2.0023	Picture
38.5202	0	Pulse
40.8002	0	Pulse
43.0721	0	Pulse
44.2	0	Response
44.4001	0	Response
44.512	0	Response
44.6881	0	Response
44.728	0	Response
45.3518	0	Pulse
46.8159	0	Response
47.096	0	Response
47.24	0	Response
47.328	0	Response
47.6401	0	Response
47.6402	0	Pulse
48.0159	0	Response
48.12	0	Response
49.2799	0	Response
49.9199	0	Pulse
52.1919	0	Pulse
52.4432	6.0069	Picture
54.4718	0	Pulse
56.7517	0	Pulse
59.0397	0	Pulse
61.3116	0	Pulse
63.5916	0	Pulse
65.8715	0	Pulse
67.4604	8.0091	Picture
68.1594	0	Pulse
70.4314	0	Pulse
72.7113	0	Pulse
74.9913	0	Pulse
77.2792	0	Pulse
79.5591	0	Pulse
81.8311	0	Pulse
82.4776	2.0022	Picture
84.111	0	Pulse
86.3989	0	Pulse
88.6789	0	Pulse
90.3987	0	Response
90.5508	0	Response
90.639	0	Response
90.7748	0	Response
90.8627	0	Response
90.9508	0	Pulse
90.9828	0	Response
92.1027	0	Response
93.2308	0	Pulse
95.5187	0	Pulse
97.478	6.0069	Picture
97.7986	0	Pulse
100.071	0	Pulse
102.35	0	Pulse
104.63	0	Pulse
106.918	0	Pulse
109.19	0	Pulse
111.47	0	Pulse
112.495	8.0092	Picture
113.75	0	Pulse
116.038	0	Pulse
118.318	0	Pulse
120.59	0	Pulse
122.87	0	Pulse
125.158	0	Pulse
127.438	0	Pulse
127.512	2.0023	Picture
129.71	0	Pulse
131.99	0	Pulse
134.278	0	Pulse
134.661	0	Response
135.03	0	Response
135.613	0	Response
135.829	0	Response
135.974	0	Response
136.11	0	Response
136.238	0	Response
136.398	0	Response
136.494	0	Response
136.558	0	Pulse
136.646	0	Response
137.645	0	Response
138.829	0	Pulse
141.109	0	Pulse
142.513	6.0068	Picture
143.389	0	Pulse
145.677	0	Pulse
147.949	0	Pulse
150.229	0	Pulse
152.509	0	Pulse
153.525	9.0103	Picture
154.797	0	Pulse
157.077	0	Pulse
159.349	0	Pulse
161.629	0	Pulse
163.917	0	Pulse
166.197	0	Pulse
168.469	0	Pulse
170.749	0	Pulse
171.546	2.0022	Picture
173.037	0	Pulse
175.316	0	Pulse
176.535	2.0023	Picture
177.589	0	Pulse
179.868	0	Pulse
182.148	0	Pulse
184.436	0	Pulse
185.545	9.0103	Picture
186.708	0	Pulse
188.988	0	Pulse
191.268	0	Pulse
193.556	0	Pulse
195.828	0	Pulse
198.108	0	Pulse
200.388	0	Pulse
202.676	0	Pulse
203.566	2.0023	Picture
204.956	0	Pulse
207.228	0	Pulse
209.508	0	Pulse
210.684	0	Response
210.835	0	Response
211.796	0	Pulse
212.292	0	Response
213.561	6.0068	Picture
214.076	0	Pulse
216.347	0	Pulse
224.573	9.0103	Picture
242.594	2.0023	Picture
248.611	0	Response
248.779	0	Response
248.962	0	Response
249.098	0	Response
249.202	0	Response
249.33	0	Response
249.411	0	Response
249.53	0	Response
249.619	0	Response
249.756	0	Response
249.938	0	Response
250.066	0	Response
250.978	0	Response
251.123	0	Response
251.97	0	Response
252.589	6.0069	Picture
266.605	9.0103	Picture
282.623	2.0023	Picture
290.321	0	Response
291.465	0	Response
292.001	0	Response
292.121	0	Response
292.241	0	Response
292.377	0	Response
293.649	0	Response
293.737	0	Response
294.145	0	Response
297.607	6.0069	Picture
311.623	9.0103	Picture
327.641	2.0023	Picture
335.568	0	Response
335.704	0	Response
335.96	0	Response
336.328	0	Response
336.544	0	Response
336.576	0	Response
337.896	0	Response
338.048	0	Response
338.832	0	Response
342.625	6.0068	Picture
356.641	9.0103	Picture
372.659	2.0023	Picture
381.111	0	Response
381.303	0	Response
382.559	0	Response
387.643	6.0069	Picture
402.66	5.0057	Picture
416.676	2.0023	Picture
423.414	0	Response
423.662	0	Response
423.774	0	Response
423.926	0	Response
424.014	0	Response
424.142	0	Response
424.294	0	Response
424.55	0	Response
425.966	0	Response
431.677	6.0069	Picture
446.694	5.0057	Picture
460.71	2.0023	Picture
467.948	0	Response
468.58	0	Response
469.084	0	Response
469.228	0	Response
469.38	0	Response
469.628	0	Response
470.357	0	Response
475.711	6.0068	Picture
490.728	5.0058	Picture
504.744	2.0023	Picture
511.963	0	Response
512.099	0	Response
512.779	0	Response
519.744	6.0069	Picture
531.758	9.0103	Picture
546.775	2.0022	Picture
553.766	2.0023	Picture
563.778	9.0103	Picture
578.795	2.0023	Picture
587.265	0	Response
587.345	0	Response
587.433	0	Response
587.601	0	Response
588.377	0	Response
591.793	6.0069	Picture
603.807	9.0103	Picture
618.824	2.0023	Picture
627.712	0	Response
631.822	6.0069	Picture
646.84	7.008	Picture
658.853	2.0023	Picture
672.439	0	Response
674.479	0	Response
675.335	0	Response
676.071	0	Response
676.551	0	Response
679.844	6.0068	Picture
694.861	7.008	Picture
706.875	2.0023	Picture
720.366	0	Response
727.865	6.0069	Picture
742.883	7.008	Picture
754.896	2.0023	Picture
766.893	2.0023	Picture
776.905	7.008	Picture
791.922	2.0023	Picture
802.412	0	Response
805.411	0	Response
806.035	0	Response
807.907	6.0069	Picture
819.921	7.008	Picture
834.938	2.0023	Picture
845.842	0	Response
845.994	0	Response
846.362	0	Response
850.923	6.0069	Picture
862.937	7.008	Picture
877.954	2.0023	Picture
889.449	0	Response
893.939	6.0069	Picture
908.956	9.0103	Picture
923.973	1.9856	Picture
927.064	0	Response
927.968	0	Response
928.872	0	Response
929.032	0	Response
929.456	0	Response
934.969	6.0068	Picture
949.986	9.0103	Picture
965.003	1.9856	Picture
966.989	2.0023	Picture
980.004	9.0103	Picture
995.021	1.9856	Picture
997.982	0	Response
998.39	0	Response
999.35	0	Response
999.534	0	Response
999.75	0	Response
999.886	0	Response
999.982	0	Response
1000.09	0	Response
1000.59	0	Response
1006.02	6.0068	Picture
1021.03	6.0069	Picture
1032.05	2.0023	Picture
1038.77	0	Response
1039.88	0	Response
1040.12	0	Response
1040.28	0	Response
1040.37	0	Response
1040.51	0	Response
1041.13	0	Response
1047.05	6.0069	Picture
1062.06	6.0069	Picture
1073.08	2.0023	Picture
1080.44	0	Response
1088.08	6.0068	Picture
1103.09	6.0069	Picture
1114.11	2.0023	Picture
1120.1	2.0023	Picture
1132.11	6.0069	Picture
1146.13	2.0023	Picture
1156.12	2.0023	Picture
1168.14	6.0068	Picture
1182.15	2.0023	Picture
1193.77	0	Response
1200.14	6.0069	Picture
1214.15	6.0069	Picture
1228.17	2.0023	Picture
1239.84	0	Response
1240	0	Response
1240.48	0	Response
1246.16	6.0069	Picture
1261.18	8.0091	Picture
1275.19	2.0023	Picture
1281.04	0	Response
1284.27	0	Response
1284.65	0	Response
1284.79	0	Response
1285.48	0	Response
1289.19	6.0069	Picture
1304.21	8.0092	Picture
1318.22	2.0023	Picture
1324.45	0	Response
1332.22	6.0068	Picture
1347.24	8.0092	Picture
1361.26	2.0022	Picture
1367.36	0	Response
1375.26	6.0069	Picture
1386.27	6.0069	Picture
1400.28	2.0023	Picture
1403.81	0	Response
1405.03	0	Response
1405.32	0	Response
1405.52	0	Response
1405.67	0	Response
1405.8	0	Response
1406.37	0	Response
1408.28	6.0069	Picture
