onset	duration	Event Type
0.05	6.0068	Picture
10.2759	0	Pulse
10.276	0	Nothing
12.5559	0	Pulse
14.8358	0	Pulse
15.284	5.0057	Picture
17.1157	0	Pulse
19.3956	0	Pulse
21.6756	0	Pulse
23.9555	0	Pulse
26.2354	0	Pulse
28.5154	0	Pulse
29.3	2.0022	Picture
30.7953	0	Pulse
33.0752	0	Pulse
33.9311	0	Response
35.3551	0	Pulse
36.4111	0	Response
36.5391	0	Response
37.6351	0	Pulse
38.2935	6.0069	Picture
39.915	0	Pulse
42.1949	0	Pulse
44.4749	0	Pulse
46.7548	0	Pulse
49.0347	0	Pulse
49.3061	5.0057	Picture
51.3147	0	Pulse
53.5946	0	Pulse
55.8745	0	Pulse
58.1544	0	Pulse
60.4344	0	Pulse
62.7143	0	Pulse
63.3221	2.0022	Picture
63.6743	0	Response
64.0902	0	Response
64.9942	0	Pulse
67.2741	0	Pulse
67.7701	0	Response
68.522	0	Response
69.05	0	Response
69.5541	0	Pulse
71.834	0	Pulse
72.3156	6.0069	Picture
74.1139	0	Pulse
76.3939	0	Pulse
78.6738	0	Pulse
80.9537	0	Pulse
83.2337	0	Pulse
83.3282	5.0057	Picture
85.5136	0	Pulse
87.7935	0	Pulse
90.0734	0	Pulse
92.3534	0	Pulse
94.6333	0	Pulse
96.9132	0	Pulse
97.3442	2.0022	Picture
99.1932	0	Pulse
101.473	0	Pulse
102.041	0	Response
103.161	0	Response
103.657	0	Response
103.753	0	Pulse
106.033	0	Pulse
106.338	6.0069	Picture
108.313	0	Pulse
110.593	0	Pulse
112.873	0	Pulse
115.153	0	Pulse
117.35	5.0057	Picture
117.433	0	Pulse
119.713	0	Pulse
121.992	0	Pulse
124.272	0	Pulse
126.552	0	Pulse
128.832	0	Pulse
130.365	2.0023	Picture
131.112	0	Pulse
133.392	0	Pulse
135.672	0	Pulse
137.356	2.0023	Picture
137.952	0	Pulse
140.232	0	Pulse
142.512	0	Pulse
144.792	0	Pulse
146.367	5.0057	Picture
147.072	0	Pulse
149.352	0	Pulse
151.631	0	Pulse
153.911	0	Pulse
156.191	0	Pulse
158.471	0	Pulse
159.381	2.0023	Picture
160.751	0	Pulse
163.031	0	Pulse
165.311	0	Pulse
166.903	0	Response
167.591	0	Pulse
168.359	0	Response
168.559	0	Response
168.695	0	Response
169.007	0	Response
169.871	0	Pulse
171.379	6.0069	Picture
172.151	0	Pulse
174.431	0	Pulse
176.711	0	Pulse
178.991	0	Pulse
181.271	0	Pulse
182.391	5.0057	Picture
183.55	0	Pulse
185.831	0	Pulse
188.11	0	Pulse
190.39	0	Pulse
192.67	0	Pulse
194.95	0	Pulse
195.406	2.0023	Picture
197.229	0	Pulse
199.51	0	Pulse
201.79	0	Pulse
203.134	0	Response
203.95	0	Response
204.07	0	Pulse
204.198	0	Response
204.326	0	Response
204.422	0	Response
204.558	0	Response
204.646	0	Response
204.75	0	Response
205.11	0	Response
206.35	0	Pulse
207.403	6.0068	Picture
208.63	0	Pulse
210.91	0	Pulse
213.19	0	Pulse
220.418	9.0103	Picture
234.434	2.0023	Picture
238.133	0	Response
238.509	0	Response
239.157	0	Response
244.428	6.0069	Picture
257.443	9.0103	Picture
271.459	2.0023	Picture
275.124	0	Response
275.964	0	Response
276.324	0	Response
276.46	0	Response
276.995	0	Response
277.076	0	Response
277.236	0	Response
277.332	0	Response
277.685	0	Response
277.755	0	Response
278.284	0	Response
281.454	6.0069	Picture
294.469	9.0102	Picture
308.485	2.0023	Picture
312.115	0	Response
313.89	0	Response
314.25	0	Response
314.37	0	Response
314.866	0	Response
318.479	6.0069	Picture
329.492	7.008	Picture
344.509	2.0023	Picture
351.177	0	Response
352.601	0	Response
353.345	0	Response
353.873	0	Response
354.177	0	Response
354.273	0	Response
354.769	0	Response
355.505	6.0068	Picture
366.517	7.008	Picture
381.535	2.0023	Picture
388.288	0	Response
388.616	0	Response
389.336	0	Response
392.531	6.0068	Picture
403.543	7.008	Picture
418.56	2.0023	Picture
425.519	0	Response
425.807	0	Response
425.959	0	Response
426.095	0	Response
426.727	0	Response
429.556	6.0069	Picture
443.572	7.008	Picture
453.974	0	Response
456.294	0	Response
459.59	2.0023	Picture
466.582	2.0023	Picture
478.595	7.008	Picture
494.613	2.0022	Picture
502.308	0	Response
503.572	0	Response
504.004	0	Response
504.045	0	Response
504.404	0	Response
509.597	6.0068	Picture
523.613	7.008	Picture
539.631	2.0023	Picture
548.355	0	Response
548.459	0	Response
548.811	0	Response
548.923	0	Response
549.539	0	Response
554.615	6.0068	Picture
567.63	6.0068	Picture
578.643	2.0023	Picture
588.218	0	Response
589.018	0	Response
589.162	0	Response
589.282	0	Response
589.93	0	Response
594.644	6.0068	Picture
607.659	6.0069	Picture
618.672	2.0023	Picture
627.665	2.0022	Picture
638.678	6.0068	Picture
649.69	2.0022	Picture
659.608	0	Response
660	0	Response
660.368	0	Response
660.48	0	Response
660.687	0	Response
660.808	0	Response
661.336	0	Response
661.416	0	Response
662.144	0	Response
665.692	6.0069	Picture
676.704	5.0057	Picture
689.719	2.0023	Picture
702.382	0	Response
702.438	0	Response
702.534	0	Response
703.03	0	Response
703.262	0	Response
703.398	0	Response
703.534	0	Response
703.678	0	Response
704.31	0	Response
704.398	0	Response
704.814	0	Response
706.722	6.0068	Picture
717.734	5.0058	Picture
730.749	2.0023	Picture
743.509	0	Response
746.309	0	Response
746.517	0	Response
747.752	6.0068	Picture
758.764	5.0057	Picture
771.779	2.0022	Picture
785.004	0	Response
785.116	0	Response
785.676	0	Response
785.772	0	Response
786.236	0	Response
786.348	0	Response
786.812	0	Response
788.782	6.0068	Picture
802.798	9.0103	Picture
816.814	2.0023	Picture
828.226	0	Response
829.218	0	Response
829.362	0	Response
829.482	0	Response
830.09	0	Response
835.802	6.0068	Picture
849.818	9.0102	Picture
863.834	2.0023	Picture
875.601	0	Response
875.753	0	Response
875.993	0	Response
876.089	0	Response
876.665	0	Response
882.822	6.0069	Picture
896.838	9.0103	Picture
910.854	2.0023	Picture
921.85	2.0023	Picture
930.861	7.008	Picture
942.874	2.0023	Picture
949.863	0	Response
950.007	0	Response
950.399	0	Response
950.519	0	Response
951.078	0	Response
953.87	6.0068	Picture
964.883	7.008	Picture
976.896	2.0023	Picture
982.886	2.0022	Picture
991.897	7.008	Picture
1003.91	2.0023	Picture
1010.41	0	Response
1012.71	0	Response
1013.33	0	Response
1014.91	6.0068	Picture
1028.92	6.0069	Picture
1041.94	2.0022	Picture
1052.93	2.0023	Picture
1064.95	6.0069	Picture
1077.96	2.0023	Picture
1089.75	0	Response
1089.9	0	Response
1090.61	0	Response
1096.95	6.0069	Picture
1110.97	6.0069	Picture
1123.98	2.0023	Picture
1135.88	0	Response
1137.09	0	Response
1137.42	0	Response
1137.5	0	Response
1137.97	0	Response
1142.97	6.0069	Picture
1156.98	6.0069	Picture
1169	2.0023	Picture
1175.73	0	Response
1176.66	0	Response
1176.91	0	Response
1177.02	0	Response
1177.5	0	Response
1177.58	0	Response
1177.88	0	Response
1183	6.0068	Picture
1197.01	6.0068	Picture
1209.03	2.0023	Picture
1215.51	0	Response
1216.85	0	Response
1217.12	0	Response
1217.21	0	Response
1217.48	0	Response
1223.03	6.0069	Picture
1237.04	6.0068	Picture
1249.06	2.0023	Picture
1255.77	0	Response
1257.5	0	Response
1257.99	0	Response
1263.06	6.0068	Picture
1275.07	8.0091	Picture
1289.09	2.0023	Picture
1293.63	0	Response
1295.14	0	Response
1295.76	0	Response
1299.08	6.0069	Picture
1311.09	8.0092	Picture
1325.11	2.0023	Picture
1329.89	0	Response
1330.23	0	Response
1330.83	0	Response
1330.91	0	Response
1331.24	0	Response
1335.1	6.0069	Picture
1347.12	8.0091	Picture
1361.13	2.0023	Picture
1366.3	0	Response
1366.66	0	Response
1366.74	0	Response
1369.51	0	Response
1369.56	0	Response
1371.13	6.0068	Picture
1383.14	6.0068	Picture
1397.16	2.0022	Picture
1404.65	0	Response
1406.78	0	Response
1406.89	0	Response
1410.16	6.0068	Picture
1422.17	6.0068	Picture
1436.19	2.0022	Picture
1443.91	0	Response
1444.86	0	Response
1445.27	0	Response
1449.18	6.0068	Picture
1461.2	6.0068	Picture
1475.21	2.0022	Picture
1482.85	0	Response
1485.33	0	Response
1485.41	0	Response
1488.21	6.0068	Picture
1503.23	7.008	Picture
1515.24	2.0023	Picture
1515.71	0	Response
1515.85	0	Response
1528.75	0	Response
1531.29	0	Response
1531.34	0	Response
1537.23	6.0069	Picture
1552.25	7.008	Picture
1564.27	2.0023	Picture
1577.26	2.0022	Picture
1590.28	7.008	Picture
1602.29	2.0023	Picture
1615.75	0	Response
1618.31	0	Response
1618.41	0	Response
1624.28	6.0069	Picture
1638.3	9.0102	Picture
1653.32	2.0023	Picture
1657.75	0	Response
1659.84	0	Response
1659.96	0	Response
1665.31	6.0068	Picture
1679.33	9.0102	Picture
1694.35	2.0022	Picture
1699.05	0	Response
1700.23	0	Response
1700.5	0	Response
1700.64	0	Response
1700.9	0	Response
1706.34	6.0068	Picture
1720.36	9.0103	Picture
1735.38	2.0023	Picture
1739.37	2.0023	Picture
1752.38	6.0068	Picture
1765.39	2.0023	Picture
1766.64	0	Response
1766.67	0	Response
1767.05	0	Response
1767.1	0	Response
1771.4	0	Response
1771.52	0	Response
1772.77	0	Response
1776.14	0	Response
1776.46	0	Response
1781.4	6.0069	Picture
1796.41	6.0068	Picture
1809.43	2.0023	Picture
1816.98	0	Response
1818.28	0	Response
1818.64	0	Response
1818.73	0	Response
1819.2	0	Response
1825.43	6.0068	Picture
1840.45	6.0068	Picture
1853.46	2.0023	Picture
1860.91	0	Response
1862.05	0	Response
1862.21	0	Response
1862.32	0	Response
1862.91	0	Response
1869.46	6.0068	Picture
1881.48	5.0057	Picture
1892.49	2.0023	Picture
1901.01	0	Response
1904.28	0	Response
1904.51	0	Response
1904.58	0	Response
1904.84	0	Response
1906.49	6.0068	Picture
1918.5	5.0057	Picture
1929.52	2.0023	Picture
1938.3	0	Response
1939.45	0	Response
1939.88	0	Response
1939.93	0	Response
1940.38	0	Response
1943.51	6.0068	Picture
1955.53	5.0057	Picture
1966.54	2.0023	Picture
1975.11	0	Response
1975.25	0	Response
1975.65	0	Response
1975.72	0	Response
1976.49	0	Response
1976.56	0	Response
1976.86	0	Response
1980.54	6.0069	Picture
1992.55	8.0091	Picture
2008.57	1.9855	Picture
2010.56	2.0023	Picture
2020.57	8.0091	Picture
2036.59	1.9856	Picture
2039.32	0	Response
2040.13	0	Response
2040.43	0	Response
2040.56	0	Response
2040.89	0	Response
2044.58	6.0069	Picture
2056.59	8.0092	Picture
2072.61	1.9856	Picture
2075.82	0	Response
2077.55	0	Response
2077.72	0	Response
2077.83	0	Response
2078.28	0	Response
2080.6	6.0069	Picture
2091.62	6.0068	Picture
2102.63	2.0023	Picture
2116.02	0	Response
2118.55	0	Response
2118.61	0	Response
2120.63	6.0068	Picture
2131.65	6.0069	Picture
2142.66	2.0022	Picture
2156.2	0	Response
2157.58	0	Response
2157.84	0	Response
2157.91	0	Response
2158.17	0	Response
2160.66	6.0068	Picture
2171.67	6.0068	Picture
2182.69	2.0023	Picture
2195.68	2.0023	Picture
2208.7	9.0102	Picture
2223.72	2.0023	Picture
2232.25	0	Response
2234.06	0	Response
2234.65	0	Response
2240.7	6.0068	Picture
2255.72	9.0103	Picture
2270.74	2.0023	Picture
2278.73	2.0022	Picture
2291.74	9.0103	Picture
2306.76	2.0023	Picture
2315.48	0	Response
2315.77	0	Response
2315.96	0	Response
2316.28	0	Response
2316.84	0	Response
2316.9	0	Response
2317.29	0	Response
2323.75	6.0069	Picture
2334.76	9.0102	Picture
2352.78	2.0023	Picture
2360.19	0	Response
2363.95	0	Response
2364.05	0	Response
2364.17	0	Response
2364.35	0	Response
2364.78	6.0068	Picture
2366.48	0	Response
2366.78	0	Response
2375.79	9.0103	Picture
2393.81	2.0023	Picture
2401.67	0	Response
2402.28	0	Response
2402.59	0	Response
2405.81	6.0068	Picture
2416.82	9.0103	Picture
2434.84	2.0022	Picture
2441.83	2.0022	Picture
2454.85	6.0068	Picture
2468.86	2.0022	Picture
2477.29	0	Response
2478.35	0	Response
2478.61	0	Response
2485.85	6.0068	Picture
2500.87	6.0068	Picture
2514.88	2.0022	Picture
2523.56	0	Response
2524.78	0	Response
2524.93	0	Response
2525.05	0	Response
2525.47	0	Response
2525.57	0	Response
2525.86	0	Response
2531.87	6.0068	Picture
2546.89	6.0068	Picture
2560.9	2.0022	Picture
2569.52	0	Response
2570.08	0	Response
2570.36	0	Response
2570.46	0	Response
2570.63	0	Response
2572.91	0	Response
2573.03	0	Response
2573.15	0	Response
2573.29	0	Response
2577.89	6.0068	Picture
2592.9	5.0057	Picture
2603.92	2.0023	Picture
2618.44	0	Response
2619.37	0	Response
2619.66	0	Response
2626.91	6.0068	Picture
2641.93	5.0057	Picture
2652.94	2.0022	Picture
2667.5	0	Response
2669	0	Response
2669.04	0	Response
2675.93	6.0069	Picture
2690.95	5.0057	Picture
2701.96	2.0023	Picture
2716.73	0	Response
2717.8	0	Response
2717.82	0	Response
2724.95	6.0069	Picture
2737.97	6.0068	Picture
2752.99	2.0023	Picture
2757.45	0	Response
2761.34	0	Response
2761.39	0	Response
2763.98	6.0069	Picture
2777	6.0068	Picture
2792.01	2.0023	Picture
2796.76	0	Response
2797.12	0	Response
2797.29	0	Response
2803.01	6.0069	Picture
2816.03	6.0068	Picture
2831.04	2.0023	Picture
2835.7	0	Response
2837.79	0	Response
2837.88	0	Response
2842.04	6.0069	Picture
2854.05	2.0023	Picture
