onset	duration	Event Type
0.0166	6.0069	Picture
20.036	0	Pulse
20.0361	0	Nothing
22.316	0	Pulse
24.5959	0	Pulse
26.8759	0	Pulse
28.0488	7.008	Picture
29.1558	0	Pulse
31.4357	0	Pulse
33.7157	0	Pulse
35.9956	0	Pulse
38.2756	0	Pulse
40.5555	0	Pulse
41.0637	2.0023	Picture
42.8355	0	Pulse
45.1154	0	Pulse
47.4034	0	Pulse
48.7234	0	Response
48.9314	0	Response
49.3393	0	Response
49.5153	0	Response
49.5953	0	Response
49.6753	0	Pulse
49.7553	0	Response
49.8273	0	Response
49.9873	0	Response
50.0513	0	Response
50.2113	0	Response
50.2993	0	Response
50.6672	0	Response
50.7313	0	Response
50.9233	0	Response
51.0033	0	Response
51.9552	0	Pulse
52.8592	0	Response
54.2352	0	Pulse
54.3632	0	Response
56.0642	6.0069	Picture
56.5152	0	Pulse
58.7951	0	Pulse
61.0751	0	Pulse
63.355	0	Pulse
65.635	0	Pulse
67.9149	0	Pulse
70.0803	7.0081	Picture
70.1949	0	Pulse
72.4748	0	Pulse
74.7547	0	Pulse
77.0347	0	Pulse
79.3146	0	Pulse
81.5946	0	Pulse
83.0952	2.0023	Picture
83.8745	0	Pulse
86.1545	0	Pulse
88.4344	0	Pulse
90.7224	0	Pulse
90.9944	0	Response
92.9943	0	Pulse
93.1943	0	Response
94.1462	0	Response
94.3543	0	Response
94.5303	0	Response
94.6983	0	Response
95.2743	0	Pulse
95.7624	0	Response
95.9303	0	Response
96.7303	0	Response
96.8742	0	Response
97.5619	0	Response
97.5619	0	Pulse
97.6902	0	Response
98.0342	0	Response
98.1702	0	Response
98.7221	0	Response
98.7799	6.0069	Picture
99.8342	0	Pulse
102.114	0	Pulse
104.394	0	Pulse
106.674	0	Pulse
108.954	0	Pulse
111.234	0	Pulse
112.796	7.008	Picture
113.514	0	Pulse
115.794	0	Pulse
118.074	0	Pulse
120.354	0	Pulse
122.634	0	Pulse
124.922	0	Pulse
125.811	2.0023	Picture
127.194	0	Pulse
129.474	0	Pulse
131.753	0	Pulse
133.377	0	Response
133.865	0	Response
134.033	0	Pulse
134.449	0	Response
134.633	0	Response
134.817	0	Response
134.977	0	Response
136.313	0	Pulse
136.377	0	Response
136.545	0	Response
136.865	0	Response
137.01	0	Response
137.649	0	Response
137.809	0	Response
138.593	0	Pulse
138.697	0	Response
140.811	6.0069	Picture
140.873	0	Pulse
143.153	0	Pulse
145.433	0	Pulse
147.713	0	Pulse
149.993	0	Pulse
