onset	duration	Event Type
0.0333	6.0069	Picture
19.6408	0	Nothing
19.6408	0	Pulse
21.9207	0	Pulse
24.2087	0	Pulse
24.6449	8.0091	Picture
26.4806	0	Pulse
28.7606	0	Pulse
31.0485	0	Pulse
33.3285	0	Pulse
35.6004	0	Pulse
37.8804	0	Pulse
40.1683	0	Pulse
40.6632	2.0023	Picture
42.4482	0	Pulse
44.7202	0	Pulse
47.0001	0	Pulse
49.2881	0	Pulse
51.3921	0	Response
51.3921	0	Response
51.5681	0	Pulse
51.5758	0	Response
51.672	0	Response
52.504	0	Response
52.568	0	Response
53.84	0	Pulse
53.92	0	Response
54.6459	6.0069	Picture
56.1199	0	Pulse
58.4079	0	Pulse
60.6878	0	Pulse
62.9598	0	Pulse
65.2397	0	Pulse
65.6586	8.0092	Picture
67.5277	0	Pulse
69.7996	0	Pulse
72.0796	0	Pulse
74.3596	0	Pulse
76.6475	0	Pulse
78.9194	0	Pulse
81.1994	0	Pulse
81.6769	2.0023	Picture
83.4793	0	Pulse
85.7672	0	Pulse
88.0392	0	Pulse
90.3191	0	Pulse
92.2311	0	Response
92.4391	0	Response
92.5991	0	Pulse
92.7431	0	Response
92.9831	0	Response
93.4551	0	Response
93.6631	0	Response
94.407	0	Response
94.6471	0	Response
94.887	0	Pulse
96.039	0	Response
96.0935	6.0069	Picture
97.159	0	Pulse
99.4389	0	Pulse
101.727	0	Pulse
104.007	0	Pulse
106.279	0	Pulse
107.106	8.0092	Picture
108.559	0	Pulse
110.847	0	Pulse
113.127	0	Pulse
115.398	0	Pulse
117.678	0	Pulse
119.966	0	Pulse
122.246	0	Pulse
123.124	2.0023	Picture
124.518	0	Pulse
126.798	0	Pulse
129.086	0	Pulse
131.358	0	Pulse
133.174	0	Response
133.366	0	Response
133.638	0	Pulse
133.678	0	Response
133.822	0	Response
135.438	0	Response
135.918	0	Pulse
137.107	6.0069	Picture
138.206	0	Pulse
140.478	0	Pulse
142.758	0	Pulse
145.038	0	Pulse
147.326	0	Pulse
149.598	0	Pulse
151.878	0	Pulse
152.124	5.0058	Picture
154.158	0	Pulse
156.446	0	Pulse
158.718	0	Pulse
160.998	0	Pulse
163.286	0	Pulse
165.565	0	Pulse
166.141	2.0023	Picture
