onset	duration	Event Type
0.0166	6.0068	Picture
17.7062	0	Nothing
17.7062	0	Pulse
19.9781	0	Pulse
22.258	0	Pulse
22.709	5.0056	Picture
24.5379	0	Pulse
26.8178	0	Pulse
29.0977	0	Pulse
31.3776	0	Pulse
33.6576	0	Pulse
33.7214	2.0023	Picture
35.9374	0	Pulse
38.2174	0	Pulse
40.4973	0	Pulse
42.6491	0	Response
42.7772	0	Pulse
43.8971	0	Response
44.2091	0	Response
44.3771	0	Response
44.4811	0	Response
44.6008	0	Response
45.0571	0	Pulse
45.7451	0	Response
46.7195	6.0068	Picture
47.337	0	Pulse
49.6169	0	Pulse
51.8968	0	Pulse
54.1767	0	Pulse
56.4567	0	Pulse
57.7319	5.0057	Picture
58.7366	0	Pulse
61.0165	0	Pulse
63.2964	0	Pulse
65.5763	0	Pulse
67.8562	0	Pulse
68.7444	2.0023	Picture
70.1361	0	Pulse
72.4161	0	Pulse
74.696	0	Pulse
76.9759	0	Pulse
77.4158	0	Response
79.2638	0	Pulse
79.3357	0	Response
80.2158	0	Response
81.5357	0	Pulse
81.7424	6.0068	Picture
83.8156	0	Pulse
86.0955	0	Pulse
88.3754	0	Pulse
90.6553	0	Pulse
92.7549	5.0057	Picture
92.9353	0	Pulse
95.2152	0	Pulse
97.4951	0	Pulse
99.775	0	Pulse
102.055	0	Pulse
103.767	2.0022	Picture
104.335	0	Pulse
106.615	0	Pulse
108.895	0	Pulse
111.174	0	Pulse
112.487	0	Response
113.415	0	Response
113.454	0	Pulse
113.598	0	Response
114.166	0	Response
115.438	0	Response
115.742	0	Pulse
116.765	6.0068	Picture
118.014	0	Pulse
120.294	0	Pulse
122.574	0	Pulse
124.854	0	Pulse
127.134	0	Pulse
128.779	8.0091	Picture
129.414	0	Pulse
131.694	0	Pulse
133.974	0	Pulse
136.254	0	Pulse
138.534	0	Pulse
140.813	0	Pulse
141.794	2.0023	Picture
143.093	0	Pulse
145.373	0	Pulse
147.653	0	Pulse
149.933	0	Pulse
150.549	0	Response
151.357	0	Response
152.213	0	Pulse
152.237	0	Response
154.493	0	Pulse
155.793	6.0068	Picture
156.773	0	Pulse
159.053	0	Pulse
161.333	0	Pulse
163.613	0	Pulse
