vpn	block_nr	Gamble	condition	decision	proposer2	responder1	responder2	accept	RT	profit
sub-27	1	Win	RC	4	none	4.2	4.9	reject	13349	0
sub-27	1	Win	PC	6.9	3.5	5.9	none	accept	15076	3.1
sub-27	1	Win	UG	6.1	none	4.5	none	accept	14130	3.9
sub-27	2	Win	RC	4.5	none	2	4.8	accept	15716	5.5
sub-27	2	Loss	PC	none	100	100	none	none	none	none
sub-27	2	Win	UG	5.9	none	4.5	none	accept	13634	4.1
sub-27	3	Win	RC	5.2	none	1	3.5	accept	10586	4.8
sub-27	3	Win	PC	6	4.8	4.5	none	accept	9595	4
sub-27	3	Win	UG	6.5	none	4	none	accept	11581	3.5
sub-27	4	Win	RC	5.7	none	3.2	3.5	accept	14427	4.3
sub-27	4	Win	PC	5.6	5.5	4	none	accept	15540	4.4
sub-27	4	Win	UG	5.8	none	4.6	none	accept	15348	4.2
sub-27	5	Win	RC	3.5	none	5	0.1	accept	14861	6.5
sub-27	5	Loss	PC	none	100	100	none	none	none	none
sub-27	5	Win	UG	5.4	none	6.9	none	reject	15779	0
sub-27	6	Win	RC	3.2	none	3.9	0.1	accept	7747	6.8
sub-27	6	Win	PC	4	8	5	none	reject	7991	0
sub-27	6	Loss	UG	none	none	100	none	none	none	none
sub-27	7	Win	RC	3.4	none	3.9	4.3	reject	6874	0
sub-27	7	Win	PC	5.6	8.2	4	none	reject	6651	0
sub-27	7	Win	UG	6.1	none	4.8	none	accept	5436	3.9
sub-27	8	Loss	RC	none	none	100	100	none	none	none
sub-27	8	Win	PC	6.6	8.4	0	none	reject	5710	0
sub-27	8	Win	UG	6.5	none	2.9	none	accept	6047	3.5
sub-27	9	Win	RC	5.5	none	2	3.5	accept	14322	4.5
sub-27	9	Win	PC	7.5	8.1	2.9	none	reject	16076	0
sub-27	9	Loss	UG	none	none	100	none	none	none	none
sub-27	10	Win	RC	4.1	none	2.5	2	accept	10626	5.9
sub-27	10	Loss	PC	none	100	100	none	none	none	none
sub-27	10	Win	UG	5.6	none	4.5	none	accept	11292	4.4
sub-27	11	Win	RC	4.5	none	2	4.1	accept	13689	5.5
sub-27	11	Win	PC	7.4	7.5	3.1	none	reject	13546	0
sub-27	11	Win	UG	5.1	none	2.9	none	accept	14186	4.9
sub-27	12	Win	RC	3	none	0.4	2	accept	9840	7
sub-27	12	Win	PC	7.6	8.6	0.1	none	reject	12142	0
sub-27	12	Win	UG	5.4	none	2.9	none	accept	10482	4.6
sub-27	13	Win	RC	2.9	none	1	1	accept	9708	7.1
sub-27	13	Win	PC	8.5	8.2	5.9	none	accept	12187	1.5
sub-27	13	Win	UG	5	none	2	none	accept	9408	5
sub-27	14	Win	RC	2.8	none	4	4	reject	13420	0
sub-27	14	Win	PC	4.4	7.5	5	none	reject	10723	0
sub-27	14	Loss	UG	none	none	100	none	none	none	none
sub-27	15	Loss	RC	none	none	100	100	none	none	none
sub-27	15	Win	PC	8.1	8.6	1.6	none	reject	6980	0
sub-27	15	Win	UG	5.3	none	6.7	none	reject	6349	0
sub-27	16	Win	RC	3.8	none	2	0	accept	13922	6.2
sub-27	16	Win	PC	6.1	7.7	0	none	reject	15463	0
sub-27	16	Win	UG	5.8	none	4	none	accept	14500	4.2
sub-27	17	Win	RC	3.8	none	2.2	0	accept	10325	6.2
sub-27	17	Win	PC	8.5	9.2	7	none	reject	9858	0
sub-27	17	Win	UG	4.8	none	1	none	accept	9759	5.2
sub-27	18	Win	RC	3.9	none	1	0	accept	8614	6.1
sub-27	18	Loss	PC	none	100	100	none	none	none	none
sub-27	18	Win	UG	5.1	none	5.6	none	reject	6074	0
sub-27	19	Loss	RC	none	none	100	100	none	none	none
sub-27	19	Win	PC	8.9	8.1	0.1	none	accept	13417	1.1
sub-27	19	Win	UG	4.4	none	5.7	none	reject	13821	0
sub-27	20	Win	RC	3.7	none	2	0.1	accept	5305	6.3
sub-27	20	Win	PC	8.6	8.1	0.1	none	accept	7218	1.4
sub-27	20	Loss	UG	none	none	100	none	none	none	none
sub-27	21	Loss	RC	none	none	100	100	none	none	none
sub-27	21	Win	PC	7.9	8.4	2.9	none	reject	9973	0
sub-27	21	Win	UG	5.9	none	0.1	none	accept	8858	4.1
sub-27	22	Win	RC	3.5	none	1	3.9	accept	4482	6.5
sub-27	22	Win	PC	8.6	6.9	1	none	accept	7298	1.4
sub-27	22	Win	UG	5.4	none	0	none	accept	5699	4.6
sub-27	23	Win	RC	2.8	none	1.9	3.5	accept	11066	7.2
sub-27	23	Win	PC	7.6	8.7	0.1	none	reject	11370	0
sub-27	23	Win	UG	4.4	none	4	none	accept	10451	5.6
sub-27	24	Win	RC	2.9	none	1.7	3	accept	12370	7.1
sub-27	24	Win	PC	8.4	8.3	0	none	accept	16057	1.6
sub-27	24	Win	UG	5.6	none	3	none	accept	13561	4.4
