onset	duration	Event Type
0.0166	6.0068	Picture
15.8469	0	Nothing
15.8469	0	Pulse
18.1268	0	Pulse
20.4067	0	Pulse
22.6866	0	Pulse
22.8591	8.0091	Picture
24.9665	0	Pulse
27.2464	0	Pulse
29.5263	0	Pulse
31.8063	0	Pulse
34.0862	0	Pulse
36.3661	0	Pulse
36.875	2.0023	Picture
38.646	0	Pulse
40.9259	0	Pulse
40.9658	0	Response
41.3098	0	Response
41.9099	0	Response
42.3257	0	Response
42.7097	0	Response
43.1498	0	Response
43.2058	0	Pulse
43.3017	0	Response
43.4857	0	Response
45.4857	0	Pulse
46.8697	6.0068	Picture
47.7656	0	Pulse
50.0455	0	Pulse
52.3254	0	Pulse
54.6054	0	Pulse
56.8853	0	Pulse
59.1652	0	Pulse
59.8844	8.0091	Picture
61.4451	0	Pulse
63.725	0	Pulse
66.0049	0	Pulse
68.2848	0	Pulse
70.5647	0	Pulse
72.8447	0	Pulse
73.9003	2.0022	Picture
75.1246	0	Pulse
77.4048	0	Pulse
77.8444	0	Response
78.1564	0	Response
79.6844	0	Pulse
80.0123	0	Response
80.2043	0	Response
81.9643	0	Pulse
83.8949	6.0068	Picture
84.2442	0	Pulse
86.5241	0	Pulse
88.804	0	Pulse
91.0839	0	Pulse
93.3639	0	Pulse
95.6438	0	Pulse
96.9096	8.0091	Picture
97.9237	0	Pulse
100.204	0	Pulse
102.484	0	Pulse
104.763	0	Pulse
107.043	0	Pulse
109.323	0	Pulse
110.925	2.0023	Picture
111.603	0	Pulse
113.883	0	Pulse
114.475	0	Response
114.715	0	Response
115.579	0	Response
116.163	0	Pulse
116.835	0	Response
117.571	0	Response
117.763	0	Response
118.443	0	Pulse
120.723	0	Pulse
120.92	6.0068	Picture
123.003	0	Pulse
125.283	0	Pulse
127.562	0	Pulse
129.843	0	Pulse
131.933	9.0102	Picture
132.122	0	Pulse
134.402	0	Pulse
136.682	0	Pulse
138.962	0	Pulse
141.242	0	Pulse
143.522	0	Pulse
145.802	0	Pulse
148.082	0	Pulse
148.952	2.0022	Picture
150.362	0	Pulse
152.642	0	Pulse
154.922	0	Pulse
157.161	0	Response
157.201	0	Pulse
157.553	0	Response
158.505	0	Response
158.681	0	Response
159.481	0	Pulse
160.949	6.0068	Picture
161.761	0	Pulse
164.041	0	Pulse
166.321	0	Pulse
168.601	0	Pulse
170.881	0	Pulse
171.961	9.0102	Picture
173.161	0	Pulse
175.441	0	Pulse
177.721	0	Pulse
180	0	Pulse
