onset	duration	Event Type
0.0166	6.0069	Picture
19.8466	0	Nothing
19.8466	0	Pulse
22.1266	0	Pulse
24.4065	0	Pulse
26.6865	0	Pulse
28.8498	8.0092	Picture
28.9664	0	Pulse
31.2464	0	Pulse
33.4543	0	Response
33.5262	0	Pulse
33.6542	0	Response
34.9742	0	Response
35.8063	0	Pulse
36.6942	0	Response
36.9422	0	Response
38.0862	0	Pulse
40.3662	0	Pulse
42.6462	0	Pulse
44.8682	2.0023	Picture
44.9261	0	Pulse
47.206	0	Pulse
49.486	0	Pulse
51.766	0	Pulse
52.4539	0	Response
52.6698	0	Response
52.926	0	Response
53.0859	0	Response
53.2139	0	Response
53.3819	0	Response
54.0457	0	Pulse
54.6378	0	Response
56.3259	0	Pulse
58.6059	0	Pulse
59.8522	6.0069	Picture
60.8858	0	Pulse
63.1658	0	Pulse
64.9577	0	Response
65.4456	0	Pulse
66.0136	0	Response
66.2376	0	Response
67.7257	0	Pulse
70.0056	0	Pulse
72.2856	0	Pulse
74.5655	0	Pulse
74.8694	8.0093	Picture
76.8455	0	Pulse
79.1255	0	Pulse
81.4054	0	Pulse
83.6854	0	Pulse
85.9653	0	Pulse
88.2453	0	Pulse
90.5253	0	Pulse
90.8879	2.0023	Picture
92.8052	0	Pulse
95.0852	0	Pulse
97.3651	0	Pulse
97.461	0	Response
97.661	0	Response
97.773	0	Response
97.933	0	Response
98.005	0	Response
98.125	0	Response
98.189	0	Response
98.309	0	Response
98.381	0	Response
99.005	0	Response
99.205	0	Response
99.405	0	Response
99.5171	0	Response
99.6451	0	Pulse
99.725	0	Response
100.541	0	Response
101.925	0	Pulse
104.205	0	Pulse
105.872	6.0069	Picture
106.485	0	Pulse
108.765	0	Pulse
111.045	0	Pulse
113.325	0	Pulse
115.605	0	Pulse
117.885	0	Pulse
120.165	0	Pulse
120.889	8.0092	Picture
122.445	0	Pulse
124.725	0	Pulse
127.004	0	Pulse
129.285	0	Pulse
131.564	0	Pulse
133.844	0	Pulse
136.124	0	Pulse
136.907	2.0023	Picture
138.404	0	Pulse
140.684	0	Pulse
142.964	0	Pulse
144.004	0	Response
144.252	0	Response
144.468	0	Response
144.684	0	Response
145.068	0	Response
145.244	0	Pulse
147.524	0	Pulse
149.804	0	Pulse
151.891	6.007	Picture
152.084	0	Pulse
154.364	0	Pulse
154.996	0	Response
155.236	0	Response
156.644	0	Pulse
158.924	0	Pulse
161.204	0	Pulse
162.904	6.0069	Picture
163.484	0	Pulse
165.764	0	Pulse
168.044	0	Pulse
170.324	0	Pulse
172.604	0	Pulse
173.844	0	Response
174.004	0	Response
174.884	0	Pulse
177.164	0	Pulse
177.921	2.0023	Picture
179.444	0	Pulse
181.724	0	Pulse
184.003	0	Pulse
186.283	0	Pulse
186.915	2.0023	Picture
188.563	0	Pulse
190.843	0	Pulse
193.123	0	Pulse
195.403	0	Pulse
195.925	6.0069	Picture
197.683	0	Pulse
199.963	0	Pulse
202.243	0	Pulse
204.523	0	Pulse
206.803	0	Pulse
209.083	0	Pulse
210.943	2.0023	Picture
211.363	0	Pulse
213.643	0	Pulse
215.923	0	Pulse
218.203	0	Pulse
220.483	0	Pulse
220.539	0	Response
220.915	0	Response
221.307	0	Response
221.523	0	Response
222.763	0	Pulse
223.179	0	Response
224.942	6.0069	Picture
228.819	0	Response
229.011	0	Response
235.955	6.0069	Picture
250.972	2.0023	Picture
262.13	0	Response
262.378	0	Response
262.53	0	Response
262.658	0	Response
262.77	0	Response
262.89	0	Response
263.082	0	Response
263.258	0	Response
263.466	0	Response
263.594	0	Response
265.698	0	Response
265.756	6.0069	Picture
271.802	0	Response
271.986	0	Response
278.771	6.007	Picture
290.785	2.0023	Picture
300.401	0	Response
305.785	6.0069	Picture
318.8	6.0069	Picture
330.814	2.0023	Picture
339.968	0	Response
340.144	0	Response
340.32	0	Response
340.456	0	Response
341.392	0	Response
345.815	6.0069	Picture
358.83	6.0069	Picture
370.844	2.0023	Picture
381.616	0	Response
381.88	0	Response
382.032	0	Response
382.223	0	Response
382.327	0	Response
382.519	0	Response
382.72	0	Response
382.887	0	Response
383.623	0	Response
383.775	0	Response
384.088	0	Response
384.273	0	Response
386.536	0	Response
386.595	6.0069	Picture
400.611	6.0069	Picture
414.627	2.0023	Picture
424.799	0	Response
424.975	0	Response
425.071	0	Response
425.247	0	Response
425.319	0	Response
425.447	0	Response
426.143	0	Response
426.359	0	Response
426.791	0	Response
426.959	0	Response
427.431	0	Response
427.607	0	Response
427.991	0	Response
428.119	0	Response
428.583	0	Response
431.613	6.0069	Picture
445.63	6.0069	Picture
459.646	2.0023	Picture
469.446	0	Response
469.638	0	Response
469.766	0	Response
469.878	0	Response
469.966	0	Response
470.11	0	Response
470.198	0	Response
470.31	0	Response
470.422	0	Response
470.558	0	Response
470.622	0	Response
470.758	0	Response
470.822	0	Response
470.982	0	Response
471.062	0	Response
471.19	0	Response
471.542	0	Response
