onset	duration	Event Type
0.0166	6.0069	Picture
16.6008	0	Pulse
16.6009	0	Nothing
18.8808	0	Pulse
21.1607	0	Pulse
21.608	9.0103	Picture
23.4406	0	Pulse
25.7206	0	Pulse
28.0005	0	Pulse
30.2805	0	Pulse
32.5604	0	Pulse
34.8403	0	Pulse
37.1203	0	Pulse
37.6263	2.0023	Picture
39.4002	0	Pulse
41.6801	0	Pulse
43.9601	0	Pulse
44.1601	0	Response
46.24	0	Pulse
46.504	0	Response
46.72	0	Response
46.848	0	Response
46.968	0	Response
47.088	0	Response
47.208	0	Response
47.32	0	Response
47.824	0	Response
47.96	0	Response
48.52	0	Pulse
48.568	0	Response
48.6719	0	Response
49.2639	0	Response
49.3439	0	Response
49.7919	0	Response
49.8569	6.0069	Picture
50.7999	0	Pulse
53.0798	0	Pulse
55.3598	0	Pulse
57.6397	0	Pulse
59.9196	0	Pulse
60.8695	9.0103	Picture
62.1996	0	Pulse
64.4795	0	Pulse
66.7595	0	Pulse
69.0394	0	Pulse
71.3193	0	Pulse
73.5993	0	Pulse
75.8792	0	Pulse
76.8878	2.0023	Picture
78.1592	0	Pulse
80.4391	0	Pulse
82.719	0	Pulse
83.519	0	Response
83.7829	0	Response
84.095	0	Response
84.231	0	Response
84.3429	0	Response
84.455	0	Response
84.8069	0	Response
84.9349	0	Response
84.999	0	Pulse
85.1029	0	Response
85.2149	0	Response
85.6145	0	Response
85.7029	0	Response
86.0789	0	Response
87.2789	0	Pulse
87.8837	6.0069	Picture
89.5588	0	Pulse
91.8388	0	Pulse
94.1187	0	Pulse
96.3986	0	Pulse
98.6786	0	Pulse
98.8963	9.0103	Picture
100.959	0	Pulse
103.239	0	Pulse
105.518	0	Pulse
107.798	0	Pulse
110.078	0	Pulse
112.358	0	Pulse
114.638	0	Pulse
114.915	2.0023	Picture
116.918	0	Pulse
119.198	0	Pulse
121.478	0	Pulse
121.718	0	Response
121.886	0	Response
122.142	0	Response
122.958	0	Response
123.662	0	Response
123.758	0	Pulse
125.91	6.0069	Picture
126.038	0	Pulse
128.318	0	Pulse
130.598	0	Pulse
132.878	0	Pulse
135.158	0	Pulse
137.438	0	Pulse
139.718	0	Pulse
139.927	5.0057	Picture
141.997	0	Pulse
144.277	0	Pulse
146.557	0	Pulse
148.837	0	Pulse
151.117	0	Pulse
153.397	0	Pulse
153.943	2.0023	Picture
155.677	0	Pulse
157.957	0	Pulse
160.237	0	Pulse
162.517	0	Pulse
164.797	0	Pulse
165.525	0	Response
166.349	0	Response
166.629	0	Response
166.781	0	Response
166.917	0	Response
167.021	0	Response
167.077	0	Pulse
167.181	0	Response
167.285	0	Response
167.669	0	Response
169.357	0	Pulse
171.637	0	Pulse
172.931	6.0068	Picture
173.917	0	Pulse
176.196	0	Pulse
178.476	0	Pulse
180.756	0	Pulse
183.036	0	Pulse
185.316	0	Pulse
186.947	5.0057	Picture
187.596	0	Pulse
189.876	0	Pulse
192.156	0	Pulse
194.436	0	Pulse
196.716	0	Pulse
198.996	0	Pulse
200.963	2.0023	Picture
201.276	0	Pulse
