onset	duration	Event Type
0.0166	6.0069	Picture
15.6129	0	Pulse
15.613	0	Nothing
17.8929	0	Pulse
20.1728	0	Pulse
22.4528	0	Pulse
23.6271	9.0104	Picture
24.7327	0	Pulse
27.0127	0	Pulse
29.2927	0	Pulse
31.5726	0	Pulse
33.8526	0	Pulse
36.1325	0	Pulse
37.6432	2.0024	Picture
38.4125	0	Pulse
40.6924	0	Pulse
42.9724	0	Pulse
45.2524	0	Pulse
45.4443	0	Response
45.7243	0	Response
46.2043	0	Response
47.5323	0	Pulse
49.8123	0	Pulse
52.0922	0	Pulse
52.6438	6.007	Picture
54.3722	0	Pulse
56.6521	0	Pulse
58.9321	0	Pulse
61.212	0	Pulse
63.492	0	Pulse
65.772	0	Pulse
66.66	9.0104	Picture
68.0519	0	Pulse
70.3319	0	Pulse
72.6118	0	Pulse
74.8918	0	Pulse
77.1717	0	Pulse
79.4517	0	Pulse
80.6761	2.0023	Picture
81.7317	0	Pulse
84.0116	0	Pulse
86.2916	0	Pulse
88.3235	0	Response
88.5315	0	Response
88.5715	0	Pulse
88.6914	0	Response
88.8595	0	Response
88.9955	0	Response
89.1235	0	Response
89.4195	0	Response
90.8515	0	Pulse
93.1314	0	Pulse
95.4114	0	Pulse
95.6767	6.0069	Picture
97.6913	0	Pulse
99.9713	0	Pulse
102.251	0	Pulse
104.531	0	Pulse
106.811	0	Pulse
109.091	0	Pulse
109.693	9.0103	Picture
111.371	0	Pulse
113.651	0	Pulse
115.931	0	Pulse
118.211	0	Pulse
120.491	0	Pulse
122.771	0	Pulse
123.709	2.0023	Picture
125.051	0	Pulse
127.331	0	Pulse
129.611	0	Pulse
131.683	0	Response
131.899	0	Response
131.899	0	Pulse
132.603	0	Response
132.771	0	Response
133.139	0	Response
134.171	0	Pulse
136.451	0	Pulse
138.71	6.0069	Picture
138.731	0	Pulse
141.011	0	Pulse
143.291	0	Pulse
145.57	0	Pulse
147.85	0	Pulse
150.13	0	Pulse
150.723	8.0092	Picture
152.41	0	Pulse
154.69	0	Pulse
156.97	0	Pulse
159.25	0	Pulse
161.53	0	Pulse
163.81	0	Pulse
165.741	2.0023	Picture
166.09	0	Pulse
168.37	0	Pulse
170.65	0	Pulse
172.93	0	Pulse
174.45	0	Response
174.674	0	Response
175.21	0	Pulse
175.25	0	Response
175.442	0	Response
176.178	0	Response
177.49	0	Pulse
179.74	6.0069	Picture
179.77	0	Pulse
182.05	0	Pulse
184.33	0	Pulse
186.61	0	Pulse
188.89	0	Pulse
191.169	0	Pulse
191.754	8.0092	Picture
193.449	0	Pulse
195.729	0	Pulse
198.009	0	Pulse
200.289	0	Pulse
202.569	0	Pulse
204.849	0	Pulse
206.771	2.0023	Picture
207.129	0	Pulse
209.409	0	Pulse
211.689	0	Pulse
213.969	0	Pulse
216.025	0	Response
216.249	0	Pulse
216.305	0	Response
217.345	0	Response
217.505	0	Response
217.641	0	Response
217.769	0	Response
217.913	0	Response
218.025	0	Response
218.113	0	Response
218.265	0	Response
218.353	0	Response
218.489	0	Response
218.529	0	Pulse
218.897	0	Response
220.771	6.0069	Picture
232.785	8.0092	Picture
247.802	2.0024	Picture
255.794	2.0023	Picture
268.809	5.0057	Picture
278.821	2.0023	Picture
290.008	0	Response
290.248	0	Response
290.416	0	Response
290.624	0	Response
290.767	0	Response
290.912	0	Response
291.064	0	Response
291.224	0	Response
291.424	0	Response
291.56	0	Response
291.736	0	Response
291.88	0	Response
292.656	0	Response
297.826	6.0069	Picture
312.843	5.0058	Picture
322.855	2.0023	Picture
334.167	0	Response
334.375	0	Response
335.255	0	Response
335.486	0	Response
335.871	0	Response
336.023	0	Response
336.687	0	Response
341.86	6.0069	Picture
356.877	5.0058	Picture
366.889	2.0023	Picture
377.934	0	Response
378.198	0	Response
378.446	0	Response
378.71	0	Response
378.822	0	Response
378.982	0	Response
379.07	0	Response
379.206	0	Response
379.318	0	Response
379.446	0	Response
379.542	0	Response
379.67	0	Response
379.766	0	Response
379.894	0	Response
381.406	0	Response
385.894	6.0069	Picture
396.907	9.0104	Picture
414.928	0.9844	Picture
418.021	0	Response
418.277	0	Response
418.429	0	Response
418.645	0	Response
418.765	0	Response
418.973	0	Response
419.157	0	Response
419.357	0	Response
419.557	0	Response
419.781	0	Response
421.413	0	Response
421.613	0	Response
421.781	0	Response
421.893	0	Response
422.613	0	Response
422.67	6.0069	Picture
422.797	0	Response
433.683	9.0104	Picture
