onset	duration	Event Type
0.05	6.0068	Picture
18.8791	0	Nothing
18.8791	0	Pulse
21.1591	0	Pulse
23.439	0	Pulse
25.711	0	Pulse
25.8961	7.008	Picture
27.9989	0	Pulse
30.2788	0	Pulse
32.5587	0	Pulse
34.8307	0	Pulse
37.1186	0	Pulse
39.3985	0	Pulse
40.9132	2.0023	Picture
41.6785	0	Pulse
43.9584	0	Pulse
46.2383	0	Pulse
47.9901	0	Response
48.2142	0	Response
48.4622	0	Response
48.5183	0	Pulse
50.7982	0	Pulse
51.4461	0	Response
51.8541	0	Response
52.0141	0	Response
52.1021	0	Response
52.214	0	Response
53.0777	0	Pulse
53.4942	0	Response
53.6701	0	Response
54.67	0	Response
54.862	0	Response
55.358	0	Pulse
57.4619	0	Response
57.5155	6.0068	Picture
57.638	0	Pulse
59.9179	0	Pulse
62.1978	0	Pulse
64.4778	0	Pulse
66.7577	0	Pulse
69.0376	0	Pulse
70.5303	7.008	Picture
71.3175	0	Pulse
73.5975	0	Pulse
75.8774	0	Pulse
78.1573	0	Pulse
80.4373	0	Pulse
82.7172	0	Pulse
84.9971	0	Pulse
85.5474	2.0023	Picture
87.269	0	Pulse
89.557	0	Pulse
91.3248	0	Response
91.4848	0	Response
91.8369	0	Pulse
91.9648	0	Response
92.1488	0	Response
92.2449	0	Response
94.1168	0	Pulse
94.7967	0	Response
95.0127	0	Response
95.1647	0	Response
95.2687	0	Response
95.3967	0	Response
95.4926	0	Response
95.6288	0	Response
96.3647	0	Response
96.3967	0	Pulse
96.5487	0	Response
97.9246	0	Response
97.9782	6.0069	Picture
98.6767	0	Pulse
100.957	0	Pulse
103.237	0	Pulse
105.508	0	Pulse
107.796	0	Pulse
110.076	0	Pulse
110.993	7.008	Picture
112.356	0	Pulse
114.628	0	Pulse
116.916	0	Pulse
119.196	0	Pulse
121.476	0	Pulse
123.756	0	Pulse
126.01	2.0022	Picture
126.036	0	Pulse
128.316	0	Pulse
130.596	0	Pulse
132.5	0	Response
132.7	0	Response
132.876	0	Pulse
132.931	0	Response
133.892	0	Response
134.091	0	Response
134.275	0	Response
134.363	0	Response
134.516	0	Response
134.603	0	Response
134.724	0	Response
134.811	0	Response
134.94	0	Response
135.155	0	Pulse
135.332	0	Response
135.499	0	Response
136.355	0	Response
137.435	0	Pulse
138.007	6.0068	Picture
139.715	0	Pulse
141.995	0	Pulse
144.275	0	Pulse
146.555	0	Pulse
148.835	0	Pulse
149.02	7.008	Picture
151.115	0	Pulse
153.395	0	Pulse
155.675	0	Pulse
157.947	0	Pulse
160.235	0	Pulse
161.033	2.0023	Picture
162.515	0	Pulse
164.795	0	Pulse
167.066	0	Pulse
169.354	0	Pulse
171.634	0	Pulse
173.03	2.0023	Picture
173.914	0	Pulse
176.186	0	Pulse
178.474	0	Pulse
