""	"participant_id"	"block_n"	"snb"	"bid"	"b2_bid"	"s1_rp"	"s2_rp"	"outcome"	"rt"	"profit"	"country"	"out_bool"	"out_prev"	"out_aprev"	"bid_prev"	"bid_aprev"	"bid_next"	"bid_anext"	"dl"
"1081"	"sub-01"	1	"NC"	5.1	NA	3	NA	"accept"	NA	4.9	"RU"	TRUE	NA	NA	NA	0	5	2.4	NA
"1082"	"sub-01"	1	"SC"	2.4	NA	4.2	4	"reject"	NA	0	"RU"	FALSE	NA	1	NA	0	3	6.2	NA
"1083"	"sub-01"	1	"BC"	6.2	7	6	NA	"reject"	NA	0	"RU"	FALSE	NA	0	NA	0	NA	5	NA
"1084"	"sub-01"	2	"NC"	5	NA	5	NA	"accept"	NA	5	"RU"	TRUE	1	0	5.1	0	5.1	3	1
"1085"	"sub-01"	2	"SC"	3	NA	2	2.9	"accept"	NA	7	"RU"	TRUE	0	1	2.4	0	3.1	5.1	1
"1086"	"sub-01"	3	"NC"	5.1	NA	5	NA	"accept"	NA	4.9	"RU"	TRUE	1	1	5	0	5.2	3.1	0
"1087"	"sub-01"	3	"SC"	3.1	NA	2.2	3.5	"accept"	NA	6.9	"RU"	TRUE	1	1	3	0	3	7	0
"1088"	"sub-01"	3	"BC"	7	6.3	5.9	NA	"accept"	NA	3	"RU"	TRUE	NA	1	NA	0	7.1	5.2	NA
"1089"	"sub-01"	4	"NC"	5.2	NA	4	NA	"accept"	NA	4.8	"RU"	TRUE	1	1	5.1	0	5.2	3	0
"1090"	"sub-01"	4	"SC"	3	NA	0.1	0.1	"accept"	NA	7	"RU"	TRUE	1	1	3.1	0	3.3	7.1	1
"1091"	"sub-01"	4	"BC"	7.1	6.5	4	NA	"accept"	NA	2.9	"RU"	TRUE	1	1	7	0	NA	5.2	0
"1092"	"sub-01"	5	"NC"	5.2	NA	5	NA	"accept"	NA	4.8	"RU"	TRUE	1	1	5.2	0	NA	3.3	1
"1093"	"sub-01"	5	"SC"	3.3	NA	5.3	2	"accept"	NA	6.7	"RU"	TRUE	1	1	3	0	3.2	3.2	0
"1094"	"sub-01"	6	"SC"	3.2	NA	0	4	"accept"	NA	6.8	"RU"	TRUE	1	1	3.3	0	3.1	6	1
"1095"	"sub-01"	6	"BC"	6	7.2	2.5	NA	"reject"	NA	0	"RU"	FALSE	NA	1	NA	0	6.6	5.2	NA
"1096"	"sub-01"	7	"NC"	5.2	NA	0.1	NA	"accept"	NA	4.8	"RU"	TRUE	NA	0	NA	0	5.1	3.1	NA
"1097"	"sub-01"	7	"SC"	3.1	NA	2	0.1	"accept"	NA	6.9	"RU"	TRUE	1	1	3.2	0	NA	6.6	1
"1098"	"sub-01"	7	"BC"	6.6	6.1	5	NA	"accept"	NA	3.4	"RU"	TRUE	0	1	6	0	6.6	5.1	1
"1099"	"sub-01"	8	"NC"	5.1	NA	0	NA	"accept"	NA	4.9	"RU"	TRUE	1	1	5.2	0	NA	6.6	1
"1100"	"sub-01"	8	"BC"	6.6	6.6	4.2	NA	"accept"	NA	3.4	"RU"	TRUE	1	1	6.6	0	6.6	3.1	1
"1101"	"sub-01"	9	"SC"	3.1	NA	3	2	"accept"	NA	6.9	"RU"	TRUE	NA	1	NA	0	3.2	6.6	NA
"1102"	"sub-01"	9	"BC"	6.6	7.9	4	NA	"reject"	NA	0	"RU"	FALSE	1	1	6.6	0	NA	5.1	1
"1103"	"sub-01"	10	"NC"	5.1	NA	9	NA	"reject"	NA	0	"RU"	FALSE	NA	0	NA	0	5	3.2	NA
"1104"	"sub-01"	10	"SC"	3.2	NA	2	0.4	"accept"	NA	6.8	"RU"	TRUE	1	0	3.1	0	3	5	0
"1105"	"sub-01"	11	"NC"	5	NA	5.3	NA	"reject"	NA	0	"RU"	FALSE	0	1	5.1	0	5.2	3	0
"1106"	"sub-01"	11	"SC"	3	NA	0	3.5	"accept"	NA	7	"RU"	TRUE	1	0	3.2	0	3.1	6.6	1
"1107"	"sub-01"	11	"BC"	6.6	7.4	4	NA	"reject"	NA	0	"RU"	FALSE	NA	1	NA	0	7	5.2	NA
"1108"	"sub-01"	12	"NC"	5.2	NA	4	NA	"accept"	NA	4.8	"RU"	TRUE	0	0	5	0	5	3.1	1
"1109"	"sub-01"	12	"SC"	3.1	NA	3.6	3.5	"reject"	NA	0	"RU"	FALSE	1	1	3	0	3.1	7	0
"1110"	"sub-01"	12	"BC"	7	7.3	7.8	NA	"reject"	NA	0	"RU"	FALSE	0	0	6.6	0	6.9	5	1
"1111"	"sub-01"	13	"NC"	5	NA	4.5	NA	"accept"	NA	5	"RU"	TRUE	1	0	5.2	0	NA	3.1	1
"1112"	"sub-01"	13	"SC"	3.1	NA	4.6	3	"accept"	NA	6.9	"RU"	TRUE	0	1	3.1	0	3	6.9	0
"1113"	"sub-01"	13	"BC"	6.9	8.2	7	NA	"reject"	NA	0	"RU"	FALSE	0	1	7	0	7.1	3	0
"1114"	"sub-01"	14	"SC"	3	NA	3.6	4	"reject"	NA	0	"RU"	FALSE	1	0	3.1	0	NA	7.1	1
"1115"	"sub-01"	14	"BC"	7.1	8.1	0	NA	"reject"	NA	0	"RU"	FALSE	0	0	6.9	0	8.2	5	1
"1116"	"sub-01"	15	"NC"	5	NA	4	NA	"accept"	NA	5	"RU"	TRUE	NA	0	NA	0	5.3	8.2	NA
"1117"	"sub-01"	15	"BC"	8.2	8.3	1.6	NA	"reject"	NA	0	"RU"	FALSE	0	1	7.1	0	8.3	5.3	1
"1118"	"sub-01"	16	"NC"	5.3	NA	4	NA	"accept"	NA	4.7	"RU"	TRUE	1	0	5	0	5.1	3	0
"1119"	"sub-01"	16	"SC"	3	NA	2	2.2	"accept"	NA	7	"RU"	TRUE	NA	1	NA	0	3.1	8.3	NA
"1120"	"sub-01"	16	"BC"	8.3	8.1	0.1	NA	"accept"	NA	1.7	"RU"	TRUE	0	1	8.2	0	8.2	5.1	1
"1121"	"sub-01"	17	"NC"	5.1	NA	5.6	NA	"reject"	NA	0	"RU"	FALSE	1	1	5.3	0	5.1	3.1	1
"1122"	"sub-01"	17	"SC"	3.1	NA	3.1	0	"accept"	NA	6.9	"RU"	TRUE	1	0	3	0	3.1	8.2	0
"1123"	"sub-01"	17	"BC"	8.2	9.2	3	NA	"reject"	NA	0	"RU"	FALSE	1	1	8.3	0	NA	5.1	1
"1124"	"sub-01"	18	"NC"	5.1	NA	3.7	NA	"accept"	NA	4.9	"RU"	TRUE	0	0	5.1	0	5.1	3.1	0
"1125"	"sub-01"	18	"SC"	3.1	NA	3.1	3.2	"accept"	NA	6.9	"RU"	TRUE	1	1	3.1	0	NA	5.1	1
"1126"	"sub-01"	19	"NC"	5.1	NA	1	NA	"accept"	NA	4.9	"RU"	TRUE	1	1	5.1	0	NA	8.1	1
"1127"	"sub-01"	19	"BC"	8.1	7	1	NA	"accept"	NA	1.9	"RU"	TRUE	NA	1	NA	0	8	3	NA
"1128"	"sub-01"	20	"SC"	3	NA	4.6	0	"accept"	NA	7	"RU"	TRUE	NA	1	NA	0	NA	8	NA
"1129"	"sub-01"	20	"BC"	8	8.8	7	NA	"reject"	NA	0	"RU"	FALSE	1	1	8.1	0	8.2	5.1	1
"1130"	"sub-01"	21	"NC"	5.1	NA	4	NA	"accept"	NA	4.9	"RU"	TRUE	NA	0	NA	0	5	8.2	NA
"1131"	"sub-01"	21	"BC"	8.2	8.5	0	NA	"reject"	NA	0	"RU"	FALSE	0	1	8	0	8.5	5	1
"1132"	"sub-01"	22	"NC"	5	NA	4	NA	"accept"	NA	5	"RU"	TRUE	1	0	5.1	0	5.1	3.1	1
"1133"	"sub-01"	22	"SC"	3.1	NA	0.1	3.5	"accept"	NA	6.9	"RU"	TRUE	NA	1	NA	0	3.1	8.5	NA
"1134"	"sub-01"	22	"BC"	8.5	8.1	6	NA	"accept"	NA	1.5	"RU"	TRUE	0	1	8.2	0	8.1	5.1	1
"1135"	"sub-01"	23	"NC"	5.1	NA	7	NA	"reject"	NA	0	"RU"	FALSE	1	1	5	0	5	3.1	0
"1136"	"sub-01"	23	"SC"	3.1	NA	3	1.3	"accept"	NA	6.9	"RU"	TRUE	1	0	3.1	0	3.2	8.1	1
"1137"	"sub-01"	23	"BC"	8.1	8.3	1	NA	"reject"	NA	0	"RU"	FALSE	1	1	8.5	0	8.5	5	1
"1138"	"sub-01"	24	"NC"	5	NA	0	NA	"accept"	NA	5	"RU"	TRUE	0	0	5.1	0	NA	3.2	0
"1139"	"sub-01"	24	"SC"	3.2	NA	2.2	3	"accept"	NA	6.8	"RU"	TRUE	1	1	3.1	0	NA	8.5	0
"1140"	"sub-01"	24	"BC"	8.5	7.5	0.8	NA	"accept"	NA	1.5	"RU"	TRUE	0	1	8.1	0	NA	NA	1
"1141"	"sub-02"	1	"NC"	3.3	NA	5	NA	"reject"	6426	0	"RU"	FALSE	NA	NA	NA	0	4.5	5.1	NA
"1142"	"sub-02"	1	"SC"	5.1	NA	4.2	4.1	"accept"	6112	4.9	"RU"	TRUE	NA	0	NA	0	4.8	6	NA
"1143"	"sub-02"	1	"BC"	6	4.3	4	NA	"accept"	6645	4	"RU"	TRUE	NA	1	NA	0	NA	4.5	NA
"1144"	"sub-02"	2	"NC"	4.5	NA	4.9	NA	"reject"	9554	0	"RU"	FALSE	0	1	3.3	0	5.5	4.8	1
"1145"	"sub-02"	2	"SC"	4.8	NA	2	3.5	"accept"	10299	5.2	"RU"	TRUE	1	0	5.1	0	4.9	NA	1
"1146"	"sub-02"	2	"BC"	NA	100	100	NA	NA	NA	NA	"RU"	NA	1	1	6	0	5.5	5.5	NA
"1147"	"sub-02"	3	"NC"	5.5	NA	2	NA	"accept"	8090	4.5	"RU"	TRUE	0	NA	4.5	0	4.9	4.9	1
"1148"	"sub-02"	3	"SC"	4.9	NA	4.7	4	"accept"	9060	5.1	"RU"	TRUE	1	1	4.8	0	4.8	5.5	0
"1149"	"sub-02"	3	"BC"	5.5	8	2	NA	"reject"	8720	0	"RU"	FALSE	NA	1	NA	0	7.6	4.9	NA
"1150"	"sub-02"	4	"NC"	4.9	NA	2	NA	"accept"	9234	5.1	"RU"	TRUE	1	0	5.5	0	4.8	4.8	1
"1151"	"sub-02"	4	"SC"	4.8	NA	3.5	3.2	"accept"	10395	5.2	"RU"	TRUE	1	1	4.9	0	4.7	7.6	1
"1152"	"sub-02"	4	"BC"	7.6	6.2	4.5	NA	"accept"	9820	2.4	"RU"	TRUE	0	1	5.5	0	NA	4.8	1
"1153"	"sub-02"	5	"NC"	4.8	NA	1	NA	"accept"	6271	5.2	"RU"	TRUE	1	1	4.9	0	NA	4.7	1
