vpn	block_nr	Gamble	condition	decision	proposer2	responder1	responder2	accept	RT	profit
sub-28	1	Win	RC	6.1	none	1	4.5	accept	14253	3.9
sub-28	1	Win	UG	8	none	5	none	accept	13293	2
sub-28	1	Win	PC	9.1	5	3.8	none	accept	12901	0.9
sub-28	2	Win	RC	6.1	none	2	4.8	accept	12940	3.9
sub-28	2	Win	UG	8.6	none	4.5	none	accept	14606	1.4
sub-28	2	Loss	PC	none	100	100	none	none	none	none
sub-28	3	Win	RC	5.3	none	1	4.1	accept	9075	4.7
sub-28	3	Win	UG	8.4	none	3.4	none	accept	11047	1.6
sub-28	3	Win	PC	8.7	6.5	5.6	none	accept	13749	1.3
sub-28	4	Win	RC	5.3	none	0.1	2	accept	16377	4.7
sub-28	4	Win	UG	8.3	none	6.8	none	accept	16027	1.7
sub-28	4	Win	PC	8.4	2.5	1	none	accept	14270	1.6
sub-28	5	Win	RC	5.1	none	3.6	2	accept	16304	4.9
sub-28	5	Win	UG	5.5	none	4.5	none	accept	16048	4.5
sub-28	5	Loss	PC	none	100	100	none	none	none	none
sub-28	6	Win	RC	6.5	none	0	0.1	accept	9440	3.5
sub-28	6	Loss	UG	none	none	100	none	none	none	none
sub-28	6	Win	PC	7.4	7.5	0	none	reject	9272	0
sub-28	7	Win	RC	3	none	0.5	4.3	accept	5486	7
sub-28	7	Win	UG	8.1	none	4.5	none	accept	5529	1.9
sub-28	7	Win	PC	8.9	7.5	3	none	accept	6196	1.1
sub-28	8	Loss	RC	none	none	100	100	none	none	none
sub-28	8	Win	UG	5.9	none	3	none	accept	10360	4.1
sub-28	8	Win	PC	8.9	8.4	3	none	accept	11411	1.1
sub-28	9	Win	RC	5.5	none	3.2	2	accept	10777	4.5
sub-28	9	Loss	UG	none	none	100	none	none	none	none
sub-28	9	Win	PC	8.9	8.5	4	none	accept	12240	1.1
sub-28	10	Win	RC	5.6	none	4	2	accept	11664	4.4
sub-28	10	Win	UG	8.4	none	4.5	none	accept	13530	1.6
sub-28	10	Loss	PC	none	100	100	none	none	none	none
sub-28	11	Win	RC	8.4	none	4.1	0.3	accept	12393	1.6
sub-28	11	Win	UG	8.4	none	5.7	none	accept	14291	1.6
sub-28	11	Win	PC	8.7	8.2	8.4	none	accept	14454	1.3
sub-28	12	Win	RC	6.4	none	3	0.1	accept	15208	3.6
sub-28	12	Win	UG	8	none	1	none	accept	15745	2
sub-28	12	Win	PC	8.5	8.4	6.7	none	accept	14177	1.5
sub-28	13	Win	RC	5.3	none	3	0.1	accept	9710	4.7
sub-28	13	Win	UG	8.4	none	3.9	none	accept	9080	1.6
sub-28	13	Win	PC	8.5	2.8	7	none	accept	10058	1.5
sub-28	14	Win	RC	5.6	none	2	0	accept	13916	4.4
sub-28	14	Loss	UG	none	none	100	none	none	none	none
sub-28	14	Win	PC	8.8	8.1	0	none	accept	13703	1.2
sub-28	15	Loss	RC	none	none	100	100	none	none	none
sub-28	15	Win	UG	8.5	none	0.1	none	accept	5295	1.5
sub-28	15	Win	PC	8.5	8.6	4.8	none	reject	5976	0
sub-28	16	Win	RC	5.3	none	2	3.5	accept	12023	4.7
sub-28	16	Win	UG	8.2	none	2	none	accept	13839	1.8
sub-28	16	Win	PC	1.3	7.7	1	none	reject	13566	0
sub-28	17	Win	RC	6	none	3.4	3.5	accept	9666	4
sub-28	17	Win	UG	8.3	none	0	none	accept	9558	1.7
sub-28	17	Win	PC	8.6	7.9	8	none	accept	11322	1.4
sub-28	18	Win	RC	6.3	none	3	6.3	accept	4406	3.7
sub-28	18	Win	UG	8.2	none	4	none	accept	4906	1.8
sub-28	18	Loss	PC	none	100	100	none	none	none	none
sub-28	19	Loss	RC	none	none	100	100	none	none	none
sub-28	19	Win	UG	8.3	none	1	none	accept	14423	1.7
sub-28	19	Win	PC	8.5	8.2	7	none	accept	15555	1.5
sub-28	20	Win	RC	8.5	none	3	0.1	accept	8167	1.5
sub-28	20	Loss	UG	none	none	100	none	none	none	none
sub-28	20	Win	PC	8.5	6.1	0	none	accept	5955	1.5
sub-28	21	Loss	RC	none	none	100	100	none	none	none
sub-28	21	Win	UG	8.3	none	4	none	accept	14845	1.7
sub-28	21	Win	PC	8.6	8.1	7	none	accept	12602	1.4
sub-28	22	Win	RC	5	none	0.1	0	accept	4217	5
sub-28	22	Win	UG	8.2	none	2	none	accept	6427	1.8
sub-28	22	Win	PC	7.2	9	7.8	none	reject	3997	0
sub-28	23	Win	RC	7	none	0.1	3.5	accept	11763	3
sub-28	23	Win	UG	8.2	none	1	none	accept	14814	1.8
sub-28	23	Win	PC	1	9.3	4	none	reject	14696	0
sub-28	24	Win	RC	6.2	none	3.1	0.1	accept	16577	3.8
sub-28	24	Win	UG	4.6	none	1	none	accept	16739	5.4
sub-28	24	Win	PC	8.5	9	1	none	reject	17083	0
