vpn	block_nr	Gamble	condition	decision	proposer2	responder1	responder2	accept	RT	profit
jterushkina	1	Win	UG	5.8	none	4.5	none	accept	6650	4.2
jterushkina	1	Win	PC	7.4	7	6	none	accept	6778	2.6
jterushkina	1	Win	RC	7.1	none	1	4.9	accept	5992	2.9
jterushkina	2	Win	UG	4.7	none	3.4	none	accept	8864	5.3
jterushkina	2	Loss	PC	none	100	100	none	none	none	none
jterushkina	2	Win	RC	6.8	none	2	4.5	accept	8464	3.2
jterushkina	3	Win	UG	5.6	none	1	none	accept	7152	4.4
jterushkina	3	Win	PC	7.2	5.9	5.6	none	accept	8852	2.8
jterushkina	3	Win	RC	4.4	none	5	6.2	reject	6312	0
jterushkina	4	Win	UG	7.3	none	4.5	none	accept	10968	2.7
jterushkina	4	Win	PC	7.6	7	0.1	none	accept	11907	2.4
jterushkina	4	Win	RC	2.8	none	3.2	0.1	accept	10854	7.2
jterushkina	5	Win	UG	4.9	none	3.2	none	accept	5753	5.1
jterushkina	5	Loss	PC	none	100	100	none	none	none	none
jterushkina	5	Win	RC	3.8	none	1	4	accept	5501	6.2
jterushkina	6	Loss	UG	none	none	100	none	none	none	none
jterushkina	6	Win	PC	6.7	7.5	3	none	reject	13977	0
jterushkina	6	Win	RC	6.6	none	2	0.1	accept	13738	3.4
jterushkina	7	Win	UG	6.5	none	4.5	none	accept	10628	3.5
jterushkina	7	Win	PC	8.4	6.9	4	none	accept	11328	1.6
jterushkina	7	Win	RC	4.6	none	2	0	accept	11724	5.4
jterushkina	8	Win	UG	5.1	none	2.3	none	accept	16185	4.9
jterushkina	8	Win	PC	7.7	8.4	4.5	none	reject	14890	0
jterushkina	8	Loss	RC	none	none	100	100	none	none	none
jterushkina	9	Loss	UG	none	none	100	none	none	none	none
jterushkina	9	Win	PC	8.1	7.1	2.2	none	accept	7350	1.9
jterushkina	9	Win	RC	4.3	none	3.8	2	accept	5525	5.7
jterushkina	10	Win	UG	5.4	none	3.1	none	accept	7851	4.6
jterushkina	10	Loss	PC	none	100	100	none	none	none	none
jterushkina	10	Win	RC	3.4	none	3	4.3	accept	9182	6.6
jterushkina	11	Win	UG	5.5	none	0	none	accept	6916	4.5
jterushkina	11	Win	PC	8.5	8.2	5	none	accept	8478	1.5
jterushkina	11	Win	RC	6.4	none	2	4	accept	7392	3.6
jterushkina	12	Win	UG	4.8	none	4.6	none	accept	3020	5.2
jterushkina	12	Win	PC	8.4	8.3	4	none	accept	4487	1.6
jterushkina	12	Win	RC	7.4	none	3	3	accept	2616	2.6
jterushkina	13	Win	UG	7.5	none	3.8	none	accept	11466	2.5
jterushkina	13	Win	PC	8.4	7.3	0	none	accept	13859	1.6
jterushkina	13	Win	RC	3.6	none	2	1	accept	13747	6.4
jterushkina	14	Loss	UG	none	none	100	none	none	none	none
jterushkina	14	Win	PC	8.6	6.9	1	none	accept	11053	1.4
jterushkina	14	Win	RC	2.1	none	2.1	3.5	accept	10136	7.9
jterushkina	15	Win	UG	5.3	none	4	none	accept	12176	4.7
jterushkina	15	Win	PC	7	8.5	0	none	reject	11794	0
jterushkina	15	Loss	RC	none	none	100	100	none	none	none
jterushkina	16	Win	UG	4.8	none	6	none	reject	11387	0
jterushkina	16	Win	PC	6.3	8.1	1	none	reject	12656	0
jterushkina	16	Win	RC	3.1	none	2	3.5	accept	10536	6.9
jterushkina	17	Win	UG	6.5	none	1	none	accept	12776	3.5
jterushkina	17	Win	PC	8.6	8	0.1	none	accept	14819	1.4
jterushkina	17	Win	RC	3.3	none	3.4	0.1	accept	13165	6.7
jterushkina	18	Win	UG	6.3	none	3.7	none	accept	18785	3.7
jterushkina	18	Loss	PC	none	100	100	none	none	none	none
jterushkina	18	Win	RC	4.3	none	1	0	accept	18462	5.7
jterushkina	19	Win	UG	5	none	0.1	none	accept	7657	5
jterushkina	19	Win	PC	8.5	8.1	4.1	none	accept	8747	1.5
jterushkina	19	Loss	RC	none	none	100	100	none	none	none
jterushkina	20	Loss	UG	none	none	100	none	none	none	none
jterushkina	20	Win	PC	8.5	7	7	none	accept	7241	1.5
jterushkina	20	Win	RC	6.2	none	0.7	0	accept	5706	3.8
jterushkina	21	Win	UG	6.8	none	0	none	accept	8061	3.2
jterushkina	21	Win	PC	8.6	8.6	2.9	none	accept	8905	1.4
jterushkina	21	Loss	RC	none	none	100	100	none	none	none
jterushkina	22	Win	UG	5.8	none	3.4	none	accept	2597	4.2
jterushkina	22	Win	PC	8.7	8.4	3	none	accept	3744	1.3
jterushkina	22	Win	RC	4.2	none	2.8	1	accept	2675	5.8
jterushkina	23	Win	UG	5.3	none	7	none	reject	5283	0
jterushkina	23	Win	PC	8.4	9	4	none	reject	5944	0
jterushkina	23	Win	RC	8.5	none	2.9	3	accept	5501	1.5
jterushkina	24	Win	UG	5.4	none	1	none	accept	15372	4.6
jterushkina	24	Win	PC	8.5	7.5	0	none	accept	15985	1.5
jterushkina	24	Win	RC	6.5	none	3.8	0.2	accept	15142	3.5
