onset	duration	Event Type
0.0333	6.0069	Picture
16.0624	0	Nothing
16.0624	0	Pulse
18.3423	0	Pulse
20.6127	0	Pulse
21.0742	6.0069	Picture
22.9022	0	Pulse
25.1822	0	Pulse
27.4622	0	Pulse
29.7341	0	Pulse
32.014	0	Pulse
34.302	0	Pulse
36.0915	2.0023	Picture
36.582	0	Pulse
38.8539	0	Pulse
41.1339	0	Pulse
43.4218	0	Pulse
45.7018	0	Pulse
47.0297	0	Response
47.9738	0	Pulse
48.2697	0	Response
48.5177	0	Response
48.7017	0	Response
48.7894	0	Response
48.9656	0	Response
50.1657	0	Response
50.2537	0	Pulse
50.3177	0	Response
52.5416	0	Pulse
54.8216	0	Pulse
57.1016	0	Pulse
59.3735	0	Pulse
61.6535	0	Pulse
63.9414	0	Pulse
66.1094	2.0023	Picture
66.2214	0	Pulse
68.4933	0	Pulse
70.7733	0	Pulse
73.0612	0	Pulse
75.1197	6.0069	Picture
75.3412	0	Pulse
77.6131	0	Pulse
79.8931	0	Pulse
82.1811	0	Pulse
84.461	0	Pulse
86.733	0	Pulse
89.0129	0	Pulse
90.137	2.0023	Picture
91.3009	0	Pulse
93.5809	0	Pulse
95.8528	0	Pulse
98.1328	0	Pulse
100.421	0	Pulse
100.765	0	Response
101.221	0	Response
101.373	0	Response
101.509	0	Response
102.701	0	Pulse
104.981	0	Pulse
107.253	0	Pulse
107.332	0	Response
107.39	6.0069	Picture
109.533	0	Pulse
111.82	0	Pulse
114.101	0	Pulse
116.372	0	Pulse
118.403	6.0069	Picture
118.652	0	Pulse
120.94	0	Pulse
123.22	0	Pulse
125.492	0	Pulse
127.772	0	Pulse
130.06	0	Pulse
132.34	0	Pulse
133.42	2.0023	Picture
134.612	0	Pulse
136.892	0	Pulse
139.18	0	Pulse
141.46	0	Pulse
143.74	0	Pulse
143.924	0	Response
144.252	0	Response
144.444	0	Response
144.628	0	Response
145.676	0	Response
145.844	0	Response
145.916	0	Response
146.012	0	Pulse
146.052	0	Response
147.132	0	Response
148.292	0	Pulse
148.404	6.0069	Picture
150.58	0	Pulse
152.86	0	Pulse
155.13	0	Pulse
157.412	0	Pulse
159.7	0	Pulse
161.419	9.0103	Picture
161.98	0	Pulse
164.251	0	Pulse
166.531	0	Pulse
168.819	0	Pulse
171.099	0	Pulse
173.371	0	Pulse
175.651	0	Pulse
177.939	0	Pulse
178.439	0.9844	Picture
179.423	2.0023	Picture
180.219	0	Pulse
182.491	0	Pulse
184.771	0	Pulse
187.059	0	Pulse
189.339	0	Pulse
190.436	9.0104	Picture
191.619	0	Pulse
193.891	0	Pulse
196.171	0	Pulse
198.459	0	Pulse
200.739	0	Pulse
203.011	0	Pulse
205.291	0	Pulse
207.455	0.9845	Picture
207.579	0	Pulse
209.291	0	Response
209.859	0	Pulse
210.403	0	Response
210.635	0	Response
210.803	0	Response
210.947	0	Response
211.091	0	Response
211.203	0	Response
211.323	0	Response
211.587	0	Response
211.747	0	Response
212.131	0	Pulse
212.578	0	Response
214.411	0	Pulse
215.448	6.007	Picture
216.698	0	Pulse
218.978	0	Pulse
228.463	9.0104	Picture
245.482	0.9845	Picture
247.138	0	Response
247.338	0	Response
247.466	0	Response
247.618	0	Response
248.49	0	Response
253.475	6.0069	Picture
268.492	8.0093	Picture
284.511	2.0023	Picture
294.377	0	Response
295.809	0	Response
296.057	0	Response
296.233	0	Response
296.897	0	Response
297.089	0	Response
297.873	0	Response
298.065	0	Response
298.817	0	Response
298.993	0	Response
299.601	0	Response
302.498	6.0069	Picture
317.515	8.0093	Picture
333.534	2.0023	Picture
343.368	0	Response
344.224	0	Response
344.472	0	Response
344.592	0	Response
344.696	0	Response
344.832	0	Response
344.936	0	Response
345.032	0	Response
345.144	0	Response
345.264	0	Response
345.368	0	Response
345.488	0	Response
345.6	0	Response
345.712	0	Response
346.504	0	Response
351.521	6.0069	Picture
366.538	8.0093	Picture
382.557	2.0023	Picture
393.431	0	Response
393.615	0	Response
393.711	0	Response
393.831	0	Response
393.919	0	Response
394.063	0	Response
394.727	0	Response
400.544	6.0069	Picture
411.557	9.0104	Picture
426.574	2.0023	Picture
434.526	0	Response
434.694	0	Response
434.766	0	Response
434.894	0	Response
434.942	0	Response
435.062	0	Response
435.118	0	Response
435.23	0	Response
435.294	0	Response
435.414	0	Response
435.478	0	Response
435.59	0	Response
435.678	0	Response
435.798	0	Response
437.126	0	Response
437.223	0	Response
438.558	0	Response
438.71	0	Response
438.998	0	Response
439.055	6.0069	Picture
450.068	9.0104	Picture
465.085	2.0023	Picture
472.99	0	Response
473.158	0	Response
473.229	0	Response
473.365	0	Response
473.414	0	Response
473.526	0	Response
473.574	0	Response
473.702	0	Response
473.75	0	Response
473.869	0	Response
473.925	0	Response
474.038	0	Response
474.11	0	Response
474.221	0	Response
474.558	0	Response
474.685	0	Response
475.341	0	Response
475.462	0	Response
475.597	0	Response
475.741	0	Response
476.653	0	Response
477.082	6.0069	Picture
488.095	9.0104	Picture
503.112	2.0023	Picture
510.821	0	Response
511.637	0	Response
511.837	0	Response
511.989	0	Response
512.093	0	Response
512.253	0	Response
512.525	0	Response
512.693	0	Response
512.821	0	Response
512.949	0	Response
513.189	0	Response
513.325	0	Response
514.957	0	Response
515.109	0	Response
515.277	0	Response
515.437	0	Response
516.149	0	Response
516.211	6.007	Picture
528.225	5.0057	Picture
541.24	2.0023	Picture
549.232	2.0023	Picture
559.244	5.0058	Picture
572.259	2.0023	Picture
580.851	0	Response
581.043	0	Response
581.131	0	Response
581.275	0	Response
581.579	0	Response
581.691	0	Response
581.787	0	Response
582.156	0	Response
582.267	0	Response
582.395	0	Response
583.059	0	Response
583.227	0	Response
584.459	0	Response
586.258	6.007	Picture
598.272	5.0057	Picture
611.287	2.0023	Picture
619.923	0	Response
620.13	0	Response
620.195	0	Response
620.955	0	Response
621.203	0	Response
621.355	0	Response
621.419	0	Response
621.547	0	Response
621.603	0	Response
621.723	0	Response
621.771	0	Response
621.891	0	Response
622.259	0	Response
622.411	0	Response
622.603	0	Response
622.763	0	Response
623.651	0	Response
625.286	6.0069	Picture
636.299	7.0081	Picture
650.315	2.0023	Picture
659.986	0	Response
660.17	0	Response
660.242	0	Response
660.37	0	Response
660.45	0	Response
660.586	0	Response
660.93	0	Response
661.096	0	Response
661.994	0	Response
664.315	6.0069	Picture
675.327	7.008	Picture
689.343	2.0023	Picture
699.097	0	Response
699.305	0	Response
699.425	0	Response
699.545	0	Response
699.681	0	Response
699.809	0	Response
699.953	0	Response
700.089	0	Response
700.449	0	Response
700.609	0	Response
701.321	0	Response
701.433	0	Response
702.217	0	Response
702.345	0	Response
703.177	0	Response
703.343	6.007	Picture
714.356	7.0081	Picture
728.372	2.0024	Picture
737.365	2.0023	Picture
749.379	8.0092	Picture
763.395	2.0023	Picture
771.2	0	Response
771.392	0	Response
771.48	0	Response
771.6	0	Response
771.672	0	Response
771.792	0	Response
771.864	0	Response
771.984	0	Response
772.04	0	Response
772.168	0	Response
772.232	0	Response
772.36	0	Response
772.432	0	Response
772.544	0	Response
772.639	0	Response
772.76	0	Response
772.888	0	Response
773.016	0	Response
773.984	0	Response
778.396	6.0069	Picture
792.412	8.0093	Picture
806.428	2.0023	Picture
814.215	0	Response
814.735	0	Response
815.055	0	Response
815.223	0	Response
815.343	0	Response
815.503	0	Response
815.879	0	Response
816.055	0	Response
816.991	0	Response
821.429	6.0069	Picture
835.445	8.0092	Picture
849.461	2.0024	Picture
857.334	0	Response
857.526	0	Response
857.662	0	Response
857.806	0	Response
858.958	0	Response
864.462	6.007	Picture
876.476	7.008	Picture
892.494	0.9845	Picture
894.101	0	Response
896.493	0	Response
896.613	0	Response
896.75	0	Response
896.805	0	Response
896.933	0	Response
896.965	0	Response
897.085	0	Response
897.141	0	Response
897.261	0	Response
897.317	0	Response
897.421	0	Response
898.365	0	Response
899.485	6.0069	Picture
911.499	7.0081	Picture
927.518	0.9844	Picture
928.502	2.0023	Picture
938.514	7.008	Picture
954.532	0.9845	Picture
956.292	0	Response
956.42	0	Response
956.476	0	Response
956.612	0	Response
956.948	0	Response
957.108	0	Response
957.164	0	Response
957.46	0	Response
957.516	0	Response
957.62	0	Response
957.684	0	Response
957.804	0	Response
957.868	0	Response
957.996	0	Response
958.836	0	Response
958.996	0	Response
959.396	0	Response
961.524	6.0069	Picture
972.536	5.0057	Picture
986.552	2.0023	Picture
991.1	0	Response
991.931	0	Response
992.083	0	Response
992.228	0	Response
992.299	0	Response
992.428	0	Response
992.483	0	Response
992.62	0	Response
992.947	0	Response
993.115	0	Response
994.411	0	Response
995.546	6.0069	Picture
1006.56	5.0057	Picture
1020.57	2.0023	Picture
1025.3	0	Response
1025.51	0	Response
1025.66	0	Response
1025.82	0	Response
1025.95	0	Response
1026.07	0	Response
1026.6	0	Response
1026.75	0	Response
1027.49	0	Response
1027.65	0	Response
1028.8	0	Response
1028.97	0	Response
1029.67	0	Response
1029.74	6.007	Picture
1040.75	5.0058	Picture
1054.76	2.0023	Picture
1058.75	2.0023	Picture
1069.76	6.0069	Picture
1082.78	2.0023	Picture
1094.78	2.0023	Picture
1105.79	6.0069	Picture
1118.8	2.0024	Picture
1131.62	0	Response
1131.81	0	Response
1131.91	0	Response
1132.02	0	Response
1132.12	0	Response
1132.23	0	Response
1132.31	0	Response
1132.44	0	Response
1132.76	0	Response
1132.93	0	Response
1133.7	0	Response
1133.86	0	Response
1134.78	0	Response
1137.79	6.0069	Picture
1150.81	6.0069	Picture
1163.82	2.0023	Picture
1176.52	0	Response
1176.7	0	Response
1176.77	0	Response
1176.89	0	Response
1176.95	0	Response
1177.06	0	Response
1177.13	0	Response
1177.24	0	Response
1177.3	0	Response
1177.42	0	Response
1177.47	0	Response
1177.58	0	Response
1177.65	0	Response
1177.76	0	Response
1178.06	0	Response
1178.2	0	Response
1179.3	0	Response
1182.81	6.0069	Picture
1197.83	9.0103	Picture
1213.85	2.0023	Picture
1223.41	0	Response
1225.83	0	Response
1226.07	0	Response
1226.19	0	Response
1226.25	0	Response
1226.77	0	Response
1226.87	0	Response
1226.96	0	Response
1227.74	0	Response
1227.92	0	Response
1228.5	0	Response
1231.83	6.0069	Picture
1246.85	9.0103	Picture
1262.87	2.0023	Picture
1272.45	0	Response
1273.17	0	Response
1273.3	0	Response
1273.44	0	Response
1273.51	0	Response
1273.64	0	Response
1273.7	0	Response
1273.84	0	Response
1273.88	0	Response
1274.01	0	Response
1274.06	0	Response
1274.18	0	Response
1274.22	0	Response
1274.35	0	Response
1274.41	0	Response
1274.52	0	Response
1274.82	0	Response
1274.98	0	Response
1275.89	0	Response
1276.02	0	Response
1276.49	0	Response
1280.86	6.0069	Picture
1295.88	9.0103	Picture
1311.89	2.0023	Picture
1321.61	0	Response
1321.82	0	Response
1321.98	0	Response
1322.14	0	Response
1323.29	0	Response
1329.88	6.0069	Picture
1341.89	6.0069	Picture
1354.91	2.0023	Picture
1362.52	0	Response
1364.12	0	Response
1364.24	0	Response
1364.4	0	Response
1364.44	0	Response
1364.77	0	Response
1364.85	0	Response
1364.96	0	Response
1365.04	0	Response
1365.17	0	Response
1365.4	0	Response
1365.54	0	Response
1366.37	0	Response
1366.55	0	Response
1367.36	0	Response
1367.91	6.0069	Picture
1379.92	6.0069	Picture
1392.94	2.0023	Picture
1400.73	0	Response
1401.6	0	Response
1401.74	0	Response
1401.88	0	Response
1401.95	0	Response
1402.08	0	Response
1402.16	0	Response
1402.28	0	Response
1402.44	0	Response
1402.48	0	Response
1403.16	0	Response
1403.36	0	Response
1404.48	0	Response
1405.94	6.0069	Picture
1417.95	6.0069	Picture
1430.96	2.0023	Picture
1438.53	0	Response
1438.7	0	Response
1439.2	0	Response
1439.35	0	Response
1439.51	0	Response
1439.64	0	Response
1439.76	0	Response
1439.93	0	Response
1440.78	0	Response
1443.96	6.0069	Picture
1455.98	8.0093	Picture
1468.99	2.0023	Picture
1473.76	0	Response
1474.16	0	Response
1474.29	0	Response
1474.42	0	Response
1475.35	0	Response
1475.51	0	Response
1475.63	0	Response
1475.76	0	Response
1475.86	0	Response
1475.99	0	Response
1476.06	0	Response
1476.19	0	Response
1476.63	0	Response
1476.8	0	Response
1477.78	0	Response
1478.99	6.0069	Picture
1491	8.0092	Picture
1504.01	2.0023	Picture
1508.66	0	Response
1508.84	0	Response
1508.95	0	Response
1509.09	0	Response
1509.19	0	Response
1509.35	0	Response
1510.01	0	Response
1514.01	6.0069	Picture
1526.02	8.0093	Picture
1539.04	2.0023	Picture
1543.84	0	Response
1544.02	0	Response
1544.15	0	Response
1544.27	0	Response
1544.38	0	Response
1544.48	0	Response
1544.61	0	Response
1544.73	0	Response
1544.83	0	Response
1544.97	0	Response
1545.09	0	Response
1545.21	0	Response
1545.98	0	Response
1549.03	6.0069	Picture
1560.05	6.007	Picture
1574.06	2.0023	Picture
1579.64	0	Response
1579.88	0	Response
1580.5	0	Response
1580.71	0	Response
1581.79	0	Response
1584.06	6.0069	Picture
1595.07	6.0069	Picture
1609.09	2.0023	Picture
1614.85	0	Response
1615.01	0	Response
1615.78	0	Response
1615.97	0	Response
1616.6	0	Response
1619.08	6.0069	Picture
1630.09	6.007	Picture
1644.11	2.0023	Picture
1649.1	2.0023	Picture
