onset	duration	Event Type
0.05	6.0069	Picture
15.3146	0	Pulse
15.3147	0	Nothing
17.5946	0	Pulse
19.8745	0	Pulse
22.1545	0	Pulse
24.3278	7.0081	Picture
24.4344	0	Pulse
26.7143	0	Pulse
28.9943	0	Pulse
31.2742	0	Pulse
33.5542	0	Pulse
35.8341	0	Pulse
38.1141	0	Pulse
38.3439	2.0023	Picture
40.394	0	Pulse
42.674	0	Pulse
43.058	0	Response
44.3139	0	Response
44.9537	0	Pulse
44.9939	0	Response
47.2339	0	Pulse
49.5138	0	Pulse
51.3422	6.0068	Picture
51.7938	0	Pulse
54.0737	0	Pulse
56.3537	0	Pulse
58.6336	0	Pulse
60.9136	0	Pulse
63.1935	0	Pulse
65.4735	0	Pulse
66.3594	7.008	Picture
67.7534	0	Pulse
70.0332	0	Pulse
72.3133	0	Pulse
74.5932	0	Pulse
76.8732	0	Pulse
79.1531	0	Pulse
80.3755	2.0023	Picture
81.4331	0	Pulse
83.713	0	Pulse
85.105	0	Response
85.9929	0	Pulse
86.7529	0	Response
87.153	0	Response
88.2729	0	Pulse
90.5529	0	Pulse
92.8328	0	Pulse
93.3737	6.0069	Picture
95.1128	0	Pulse
97.3927	0	Pulse
99.6727	0	Pulse
101.953	0	Pulse
104.233	0	Pulse
106.513	0	Pulse
108.391	7.0081	Picture
108.792	0	Pulse
111.072	0	Pulse
113.352	0	Pulse
115.632	0	Pulse
117.912	0	Pulse
120.192	0	Pulse
122.407	2.0023	Picture
122.472	0	Pulse
124.752	0	Pulse
127.032	0	Pulse
127.232	0	Response
127.872	0	Response
128.4	0	Response
129.312	0	Pulse
131.592	0	Pulse
133.872	0	Pulse
135.405	6.0069	Picture
136.152	0	Pulse
138.432	0	Pulse
140.712	0	Pulse
142.992	0	Pulse
145.272	0	Pulse
147.552	0	Pulse
149.832	0	Pulse
150.423	9.0103	Picture
152.111	0	Pulse
154.391	0	Pulse
156.671	0	Pulse
158.951	0	Pulse
161.23	0	Pulse
163.511	0	Pulse
164.439	2.0023	Picture
165.791	0	Pulse
168.071	0	Pulse
170.351	0	Pulse
171.497	0	Response
172.631	0	Pulse
172.855	0	Response
173.303	0	Response
174.911	0	Pulse
177.191	0	Pulse
179.439	6.0069	Picture
179.471	0	Pulse
181.751	0	Pulse
184.031	0	Pulse
186.311	0	Pulse
188.591	0	Pulse
190.87	0	Pulse
193.15	0	Pulse
194.456	9.0104	Picture
195.43	0	Pulse
197.71	0	Pulse
199.99	0	Pulse
202.27	0	Pulse
204.55	0	Pulse
206.83	0	Pulse
208.472	2.0023	Picture
209.11	0	Pulse
211.39	0	Pulse
213.67	0	Pulse
214.463	2.0023	Picture
215.95	0	Pulse
218.23	0	Pulse
227.478	9.0103	Picture
241.494	2.0023	Picture
248.765	0	Response
249.653	0	Response
249.957	0	Response
256.494	6.0069	Picture
269.509	6.0069	Picture
282.524	2.0023	Picture
288.428	0	Response
289.172	0	Response
289.676	0	Response
294.521	6.0069	Picture
307.536	6.0069	Picture
320.551	2.0023	Picture
326.691	0	Response
329.051	0	Response
329.403	0	Response
332.548	6.0069	Picture
345.563	6.0069	Picture
358.578	2.0023	Picture
364.89	0	Response
370.575	6.0069	Picture
382.589	6.0069	Picture
393.601	2.0023	Picture
404.57	0	Response
409.603	6.0069	Picture
421.617	6.0068	Picture
432.63	2.0023	Picture
443.265	0	Response
444.281	0	Response
444.537	0	Response
448.631	6.0069	Picture
460.645	6.0069	Picture
471.658	2.0023	Picture
482.512	0	Response
487.659	6.0069	Picture
500.674	9.0104	Picture
517.694	2.0023	Picture
522.447	0	Response
523.175	0	Response
523.447	0	Response
528.69	6.0069	Picture
541.705	9.0104	Picture
558.724	2.0023	Picture
562.712	2.0023	Picture
573.725	9.0103	Picture
590.744	2.0023	Picture
595.629	0	Response
596.045	0	Response
596.245	0	Response
601.74	6.0069	Picture
613.754	5.0058	Picture
624.767	2.0023	Picture
635.763	2.0023	Picture
645.774	5.0058	Picture
656.787	2.0022	Picture
668.764	0	Response
670.467	0	Response
670.763	0	Response
673.79	6.0069	Picture
685.803	5.0057	Picture
696.816	2.0023	Picture
709.562	0	Response
710.434	0	Response
710.554	0	Response
713.819	6.0069	Picture
725.833	5.0058	Picture
736.845	2.0023	Picture
747.474	0	Response
751.846	6.0069	Picture
763.86	5.0057	Picture
774.872	2.0023	Picture
784.705	0	Response
785.936	0	Response
786.201	0	Response
789.873	6.0069	Picture
801.887	5.0057	Picture
812.899	2.0023	Picture
823.32	0	Response
824.536	0	Response
824.624	0	Response
827.9	6.0069	Picture
839.913	5.0058	Picture
849.925	2.0023	Picture
865.015	0	Response
865.999	0	Response
866.111	0	Response
869.915	6.0069	Picture
881.928	5.0057	Picture
891.94	2.0023	Picture
906.31	0	Response
906.814	0	Response
906.83	0	Response
911.929	6.0069	Picture
923.943	5.0058	Picture
933.955	2.0023	Picture
947.954	2.0023	Picture
957.966	9.0104	Picture
971.982	2.0023	Picture
975.97	2.0023	Picture
985.981	9.0103	Picture
999.997	2.0023	Picture
1004.67	0	Response
1007.32	0	Response
1007.35	0	Response
1009.99	6.0069	Picture
1022.01	9.0104	Picture
1036.02	2.0023	Picture
1040.68	0	Response
1041.48	0	Response
1041.55	0	Response
1046.02	6.0069	Picture
1057.03	6.0069	Picture
1072.05	2.0023	Picture
1078.73	0	Response
1079.79	0	Response
1079.9	0	Response
1083.04	6.0069	Picture
1094.06	6.0069	Picture
1109.07	2.0023	Picture
1115.06	2.0023	Picture
1124.07	6.0069	Picture
1139.09	2.0023	Picture
1145.74	0	Response
1148.21	0	Response
1148.27	0	Response
1150.09	6.0069	Picture
1165.1	9.0103	Picture
1183.12	2.0023	Picture
1188.78	0	Response
1189.96	0	Response
1190.04	0	Response
1197.11	6.0069	Picture
1212.12	9.0103	Picture
1230.14	2.0023	Picture
1235.74	0	Response
1238.6	0	Response
1238.62	0	Response
1244.13	6.0069	Picture
1259.14	9.0103	Picture
1277.17	2.0023	Picture
1283.37	0	Response
1284.55	0	Response
1284.56	0	Response
1291.15	6.0068	Picture
1305.16	8.0092	Picture
1322.18	0.9844	Picture
1323.93	0	Response
1325.08	0	Response
1325.2	0	Response
1331.18	6.0069	Picture
1345.19	8.0092	Picture
1362.21	0.9845	Picture
1363.95	0	Response
1366.67	0	Response
1366.7	0	Response
1371.21	6.0069	Picture
1385.22	8.0091	Picture
1402.24	0.9844	Picture
1404.15	0	Response
1404.81	0	Response
1404.86	0	Response
1411.24	6.0069	Picture
1424.25	6.0069	Picture
1435.26	2.0023	Picture
1445.89	0	Response
1446.56	0	Response
1446.73	0	Response
1452.27	6.0069	Picture
1465.28	6.0069	Picture
1476.29	2.0023	Picture
