onset	duration	Event Type
0.0166	6.0069	Picture
19.2144	0	Nothing
19.2144	0	Pulse
21.5023	0	Pulse
23.7743	0	Pulse
26.0542	0	Pulse
26.2301	7.0081	Picture
28.3342	0	Pulse
30.6221	0	Pulse
32.8941	0	Pulse
35.174	0	Pulse
37.454	0	Pulse
39.7419	0	Pulse
40.2462	2.0024	Picture
42.0139	0	Pulse
44.2939	0	Pulse
46.1177	0	Response
46.3418	0	Response
46.5097	0	Response
46.5818	0	Pulse
46.6937	0	Response
46.7817	0	Response
46.9658	0	Response
48.2937	0	Response
48.8618	0	Pulse
51.1337	0	Pulse
52.2434	6.0069	Picture
53.4137	0	Pulse
55.6937	0	Pulse
57.9816	0	Pulse
60.2536	0	Pulse
62.5335	0	Pulse
64.8135	0	Pulse
65.2584	7.008	Picture
67.1014	0	Pulse
69.3734	0	Pulse
71.6533	0	Pulse
73.9333	0	Pulse
76.2213	0	Pulse
78.4932	0	Pulse
79.2745	2.0023	Picture
80.7732	0	Pulse
83.0531	0	Pulse
85.301	0	Response
85.341	0	Pulse
85.493	0	Response
86.389	0	Response
86.5571	0	Response
87.269	0	Response
87.4289	0	Response
87.613	0	Pulse
89.893	0	Pulse
89.9889	0	Response
91.2717	6.0069	Picture
92.1729	0	Pulse
94.4609	0	Pulse
96.7329	0	Pulse
99.0128	0	Pulse
101.293	0	Pulse
103.581	0	Pulse
104.287	7.0081	Picture
105.853	0	Pulse
108.133	0	Pulse
110.413	0	Pulse
112.701	0	Pulse
114.972	0	Pulse
117.252	0	Pulse
118.303	2.0023	Picture
119.532	0	Pulse
121.82	0	Pulse
124.092	0	Pulse
124.556	0	Response
124.756	0	Response
124.916	0	Response
126.372	0	Pulse
126.42	0	Response
126.572	0	Response
127.028	0	Response
127.172	0	Response
127.308	0	Response
127.428	0	Response
127.564	0	Response
128.62	0	Response
128.66	0	Pulse
130.3	6.0069	Picture
130.94	0	Pulse
133.212	0	Pulse
135.492	0	Pulse
137.772	0	Pulse
140.06	0	Pulse
142.332	0	Pulse
144.316	7.008	Picture
144.612	0	Pulse
146.892	0	Pulse
149.18	0	Pulse
151.452	0	Pulse
153.732	0	Pulse
156.012	0	Pulse
157.331	2.0023	Picture
158.3	0	Pulse
160.572	0	Pulse
162.852	0	Pulse
165.131	0	Pulse
167.419	0	Pulse
169.691	0	Pulse
171.027	0	Response
171.195	0	Response
171.427	0	Response
171.484	0	Response
171.539	0	Response
171.707	0	Response
171.843	0	Response
171.971	0	Pulse
171.995	0	Response
172.739	0	Response
174.251	0	Pulse
176.539	0	Pulse
177.321	6.0069	Picture
178.811	0	Pulse
181.091	0	Pulse
183.371	0	Pulse
185.659	0	Pulse
187.931	0	Pulse
190.211	0	Pulse
191.337	7.0081	Picture
192.491	0	Pulse
194.779	0	Pulse
197.051	0	Pulse
199.331	0	Pulse
201.611	0	Pulse
203.899	0	Pulse
204.352	2.0023	Picture
206.171	0	Pulse
208.451	0	Pulse
210.731	0	Pulse
213.019	0	Pulse
215.291	0	Pulse
217.466	0	Response
217.571	0	Pulse
217.683	0	Response
218.722	0	Response
218.875	0	Response
219.858	0	Pulse
