vpn	block_nr	Gamble	condition	decision	proposer2	responder1	responder2	accept	RT	profit
sub-29	1	Win	PC	7.1	5	4	none	accept	7239	2.9
sub-29	1	Win	UG	7.2	none	5.9	none	accept	5728	2.8
sub-29	1	Win	RC	4.5	none	1	6.8	accept	6313	5.5
sub-29	2	Loss	PC	none	100	100	none	none	none	none
sub-29	2	Win	UG	6	none	4	none	accept	9626	4
sub-29	2	Win	RC	4	none	4.1	2.9	accept	9704	6
sub-29	3	Win	PC	7	6.7	5	none	accept	4723	3
sub-29	3	Win	UG	6	none	4.3	none	accept	6824	4
sub-29	3	Win	RC	3.7	none	1	4.5	accept	6382	6.3
sub-29	4	Win	PC	4	7	6	none	reject	10260	0
sub-29	4	Win	UG	5	none	2.6	none	accept	7802	5
sub-29	4	Win	RC	3.2	none	3.5	4.6	reject	8166	0
sub-29	5	Loss	PC	none	100	100	none	none	none	none
sub-29	5	Win	UG	4.7	none	2.6	none	accept	9791	5.3
sub-29	5	Win	RC	3.5	none	3.6	4	reject	9908	0
sub-29	6	Win	PC	7	8	3	none	reject	11287	0
sub-29	6	Loss	UG	none	none	100	none	none	none	none
sub-29	6	Win	RC	3.5	none	4.1	2	accept	12453	6.5
sub-29	7	Win	PC	6.5	7	0.1	none	reject	15095	0
sub-29	7	Win	UG	3.3	none	6.9	none	reject	15767	0
sub-29	7	Win	RC	2.8	none	0.5	0.1	accept	15032	7.2
sub-29	8	Win	PC	7.1	7	2.5	none	accept	13277	2.9
sub-29	8	Win	UG	3	none	6.9	none	reject	12830	0
sub-29	8	Loss	RC	none	none	100	100	none	none	none
sub-29	9	Win	PC	6.9	7.9	4.8	none	reject	8204	0
sub-29	9	Loss	UG	none	none	100	none	none	none	none
sub-29	9	Win	RC	2.8	none	3.6	0	accept	9422	7.2
sub-29	10	Loss	PC	none	100	100	none	none	none	none
sub-29	10	Win	UG	3.9	none	4	none	reject	12649	0
sub-29	10	Win	RC	3	none	2	0.1	accept	13988	7
sub-29	11	Win	PC	7.4	6.3	5.8	none	accept	8881	2.6
sub-29	11	Win	UG	5	none	1	none	accept	8451	5
sub-29	11	Win	RC	2.7	none	2	2	accept	8933	7.3
sub-29	12	Win	PC	8	8.6	5.6	none	reject	6678	0
sub-29	12	Win	UG	4.6	none	4	none	accept	6133	5.4
sub-29	12	Win	RC	2.6	none	3	3	reject	8427	0
sub-29	13	Win	PC	8.1	8.5	3.1	none	reject	9730	0
sub-29	13	Win	UG	4.1	none	2	none	accept	9085	5.9
sub-29	13	Win	RC	3	none	2.2	1.1	accept	10191	7
sub-29	14	Win	PC	7.8	8.2	6.9	none	reject	16097	0
sub-29	14	Loss	UG	none	none	100	none	none	none	none
sub-29	14	Win	RC	3	none	2.9	3.4	accept	16117	7
sub-29	15	Win	PC	9	8.4	5.5	none	accept	6643	1
sub-29	15	Win	UG	4.4	none	4.5	none	reject	6548	0
sub-29	15	Loss	RC	none	none	100	100	none	none	none
sub-29	16	Win	PC	8.9	7.8	1	none	accept	11066	1.1
sub-29	16	Win	UG	4.9	none	4	none	accept	9767	5.1
sub-29	16	Win	RC	2.9	none	1	0	accept	9453	7.1
sub-29	17	Win	PC	8.7	8.3	6.8	none	accept	12351	1.3
sub-29	17	Win	UG	5	none	3	none	accept	10868	5
sub-29	17	Win	RC	2.9	none	3.1	3.9	reject	10322	0
sub-29	18	Loss	PC	none	100	100	none	none	none	none
sub-29	18	Win	UG	4.9	none	5	none	reject	4304	0
sub-29	18	Win	RC	3.1	none	3.1	3.2	accept	5672	6.9
sub-29	19	Win	PC	8.8	8.2	4.5	none	accept	15982	1.2
sub-29	19	Win	UG	4.9	none	1	none	accept	15512	5.1
sub-29	19	Loss	RC	none	none	100	100	none	none	none
sub-29	20	Win	PC	9	8.2	0.8	none	accept	10930	1
sub-29	20	Loss	UG	none	none	100	none	none	none	none
sub-29	20	Win	RC	2.9	none	3.2	0.1	accept	10531	7.1
sub-29	21	Win	PC	8.9	8.1	7	none	accept	11574	1.1
sub-29	21	Win	UG	4.8	none	3.5	none	accept	8775	5.2
sub-29	21	Loss	RC	none	none	100	100	none	none	none
sub-29	22	Win	PC	8.9	8.4	7	none	accept	9744	1.1
sub-29	22	Win	UG	4.9	none	4	none	accept	10979	5.1
sub-29	22	Win	RC	8.7	none	2.8	3.5	accept	12391	1.3
sub-29	23	Win	PC	8.8	8.6	0	none	accept	15742	1.2
sub-29	23	Win	UG	5.1	none	3.4	none	accept	16102	4.9
sub-29	23	Win	RC	3.3	none	3	3.5	accept	15862	6.7
sub-29	24	Win	PC	8.7	9	4.6	none	reject	8356	0
sub-29	24	Win	UG	5.1	none	0.1	none	accept	5279	4.9
sub-29	24	Win	RC	3	none	1	3	accept	6841	7
